org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
13일부터,1,4,1,1,3,1,2,2
2단계,0,1,3,1,2,2,5,2
7은,5,0,2,0,1,1,0,1
7의,1,0,3,0,4,2,0,1
agents,0,2,0,2,3,1,2,1
AI,11,33,20,27,44,22,34,26
and,0,2,0,2,3,1,2,1
APEC,0,3,0,1,3,4,4,3
BYD,6,0,5,0,5,3,0,2
BYD코리아,4,0,5,0,6,4,0,2
CJ프레시웨,0,1,1,1,3,1,1,1
de,0,2,0,2,3,1,2,1
des,0,2,0,2,3,1,2,1
EMOS,2,1,1,0,1,2,0,5
Enogia,2,1,1,0,1,2,0,5
et,0,2,0,2,3,1,2,1
G03-8236672469,2,6,4,18,11,8,4,5
GAMFF,3,12,3,3,9,4,6,6
Great,5,1,1,0,1,2,0,2
HOLO,2,2,0,2,3,2,3,2
IA,0,2,0,2,3,1,2,1
KB금융,3,0,2,0,2,2,0,1
KICEF,2,1,1,0,1,2,0,5
KT,1,3,3,2,5,2,4,2
K버거,0,2,1,1,3,2,3,2
la,0,2,0,2,3,1,2,1
les,0,2,0,2,3,1,2,1
Liner,0,2,0,2,3,1,2,1
Loop,1,1,3,1,3,2,5,3
NSP통신,2,6,4,18,11,8,4,5
of,0,2,0,2,3,1,2,1
OLED,2,2,2,1,3,1,1,2
ORC,2,1,1,0,1,2,0,5
recherche,0,2,0,2,3,1,2,1
research,0,2,0,2,3,1,2,1
SK하이닉스,1,1,0,4,2,2,1,0
SUV,6,0,5,0,5,3,0,2
the,1,3,3,3,6,3,7,4
UFS,1,1,0,4,2,2,1,0
ZUFS,1,1,0,4,2,2,1,0
가격,2,2,0,2,3,2,3,2
가누다,3,0,2,0,2,2,0,1
가장,3,0,2,0,2,2,0,1
각각각,0,1,4,0,3,4,0,3
간담회,1,4,1,1,3,2,2,2
감독,3,12,3,3,9,4,6,6
강기정,0,1,3,1,2,2,5,2
강조했다.,0,2,2,5,3,2,1,2
개막,1,4,1,1,3,2,2,2
개인,0,1,1,1,3,1,1,1
개최,1,4,1,1,3,2,2,2
갤럭시,0,1,0,4,4,0,1,1
거래,2,2,0,2,3,2,3,2
거래일,0,1,4,0,3,4,0,3
건강한,0,1,1,1,3,1,1,1
것으로,2,2,0,2,3,2,3,2
경북,2,11,4,3,10,8,8,8
경북도,0,3,0,1,3,4,4,3
경상국립대학교,1,1,3,0,2,3,1,1
계약,0,1,4,0,3,4,0,3
계획이다.,2,0,3,0,2,1,1,0
고객,5,3,8,2,11,6,4,4
고용,1,1,3,0,1,1,1,3
공급,0,1,4,0,3,4,0,3
공모전,0,1,1,1,3,1,1,1
공유,1,1,3,0,2,3,1,1
공유재산,2,0,3,0,2,1,1,0
광주,1,2,6,2,5,4,10,5
교수,1,1,3,0,2,3,1,1
교육,1,2,4,0,1,2,1,2
교체,1,3,3,2,5,2,4,2
구조,2,2,0,2,3,2,3,2
구현,1,1,3,0,2,3,1,1
국가,0,1,3,1,2,2,5,2
국비,0,3,0,1,3,4,4,3
국제,4,16,6,4,13,6,8,9
국회,0,3,0,1,3,4,4,3
기능,0,1,0,4,4,0,1,1
기반,3,2,4,0,3,5,1,6
기사,2,2,0,2,3,2,3,2
기자,12,6,9,10,8,9,3,10
기존,1,1,0,4,2,2,1,0
기준,3,2,3,1,5,4,3,3
기준대비,5,1,1,0,1,2,0,2
까르마,3,0,2,0,2,2,0,1
나갈,1,2,4,0,1,2,1,2
