org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
1000만,2,3,4,5,2,3,3,4,3,5
100일,1,4,2,0,2,1,4,1,1,1
15분,4,6,3,0,5,8,6,5,2,2
16S,3,3,1,2,1,1,3,1,3,3
1차관,0,0,2,1,2,0,0,0,1,1
256GB,1,3,0,1,1,2,3,1,2,5
48MP,1,3,0,1,1,2,3,1,2,5
5월,2,3,1,0,3,4,3,2,1,1
AI,7,17,10,4,15,13,17,10,12,10
Air,1,3,0,1,1,2,3,1,2,5
and,1,0,0,1,1,0,0,1,1,2
as,1,0,0,1,1,0,0,1,1,2
automotive,1,0,0,1,1,0,0,1,1,2
BMW,3,3,1,1,0,1,3,2,1,2
BOE,2,3,4,5,2,3,3,4,3,5
BYD,1,4,2,1,1,1,4,0,2,3
CAPA,4,4,4,2,0,3,4,3,3,1
Copyright,2,4,3,1,3,3,4,3,3,3
DDI,1,2,3,5,0,2,2,3,3,4
Display,1,0,0,1,1,0,0,1,1,2
EBS,1,4,2,0,2,1,4,1,1,1
GAMFF,2,4,3,1,3,3,4,3,3,3
GH,2,3,2,0,2,4,3,3,1,1
in,1,0,0,1,1,0,0,1,1,2
IoT,3,2,2,3,1,1,2,2,2,2
iPhone,1,3,0,1,1,2,3,1,2,5
is,1,0,0,1,1,0,0,1,1,2
JOB,1,3,1,1,4,3,3,4,1,1
KT,0,3,3,0,3,3,3,1,2,4
LCD,1,2,3,5,0,2,2,3,3,4
Lee,1,0,0,1,1,0,0,1,1,2
LG디스플레이,2,3,4,5,2,3,3,4,3,5
LG유플러스,1,4,2,0,2,2,4,2,1,4
LX세미콘,1,2,3,5,0,2,2,3,3,4
market,1,0,0,1,1,0,0,1,1,2
Max,1,3,0,1,1,2,3,1,2,5
NH투자증권,1,2,1,3,2,2,2,2,5,3
of,1,0,0,1,1,0,0,1,1,2
OLED,9,9,8,10,2,6,9,8,10,10
on,1,0,0,1,1,0,0,1,1,2
PD2706QN,1,2,1,1,0,1,2,1,2,1
PHEV,1,4,2,1,1,1,4,0,2,3
Pro,1,3,0,1,1,2,3,1,2,5
QHD,1,2,1,1,0,1,2,1,2,1
Samsung,1,0,0,1,1,0,0,1,1,2
SEL,1,3,2,0,4,1,3,0,1,1
SK하이닉스,1,2,1,3,2,2,2,2,5,3
the,1,0,0,1,1,0,0,1,1,2
to,1,0,0,1,1,0,0,1,1,2
USB,3,3,1,2,1,1,3,1,3,3
various,1,0,0,1,1,0,0,1,1,2
가격,1,3,0,1,1,2,3,1,2,5
감각,3,3,1,1,0,1,3,2,1,2
감독,2,4,3,1,3,3,4,3,3,3
강사,1,2,0,0,4,2,2,1,1,1
강조했다.,1,3,4,1,3,3,3,3,2,1
강형석,0,0,2,1,2,0,0,0,1,1
것으로,3,5,7,10,2,5,5,7,6,9
게이밍,3,3,1,2,1,1,3,1,3,3
게임,3,3,1,2,1,1,3,1,3,3
결과,2,3,4,5,2,3,3,4,3,5
경기,2,3,1,0,3,4,3,2,1,1
경기북수원,2,3,1,0,3,4,3,2,1,1
경기주택도시공사,2,3,1,0,3,4,3,2,1,1
경북,2,4,3,1,3,3,4,3,3,3
경상국립대학교,5,4,4,3,4,3,4,5,3,3
경제부총리,0,0,2,1,2,0,0,0,1,1
경품,0,3,3,0,3,3,3,1,2,4
계획이다.,4,6,3,0,5,8,6,5,2,2
고객,1,7,5,0,5,5,7,3,3,8
고도화,4,4,4,2,0,3,4,3,3,1
고성능,3,3,1,1,0,1,3,2,1,2
공간,2,3,2,0,2,4,3,3,1,1
공감,1,3,2,0,4,1,3,0,1,1
공백,1,4,2,0,2,1,4,1,1,1
과정,1,3,2,0,4,1,3,0,1,1
관광,1,3,2,1,0,2,3,4,1,0
관광지,1,3,2,1,0,2,3,4,1,0
교수,5,4,4,3,4,3,4,5,3,3
교실,1,3,2,0,4,1,3,0,1,1
교육,7,11,8,3,10,5,11,6,5,5
교육부,1,4,2,0,2,1,4,1,1,1
구윤철,0,0,2,1,2,0,0,0,1,1
국제,2,4,3,1,3,3,4,3,3,3
규모,2,3,1,0,3,4,3,2,1,1
기기,3,2,2,3,1,1,2,2,2,2
기념품,1,3,2,1,0,2,3,4,1,0
기능,2,11,6,3,5,9,11,5,8,14
기본,1,4,2,1,1,1,4,0,2,3
기사,3,3,1,1,0,1,3,2,1,2
기자,1,5,2,1,5,5,5,3,3,5
기준대비,0,3,2,1,1,3,3,2,2,4
기회,1,3,4,1,3,3,3,3,2,1
기획재정부,0,0,2,1,2,0,0,0,1,1
김포,1,3,2,1,0,2,3,4,1,0
김포시,1,3,2,1,0,2,3,4,1,0
내년,1,2,3,5,0,2,2,3,3,4
내년에도,2,3,4,5,2,3,3,4,3,5
내연기관,3,3,1,1,0,1,3,2,1,2
네오,3,3,1,2,1,1,3,1,3,3
노트북,3,3,1,2,1,1,3,1,3,3
농림축산식품부,0,0,2,1,2,0,0,0,1,1
다나와,0,3,2,1,1,3,3,2,2,4
다양한,5,7,5,5,1,4,7,7,5,3
단말기,1,4,2,0,2,2,4,2,1,4
단순한,1,3,2,0,4,1,3,0,1,1
단자,3,3,1,2,1,1,3,1,3,3
대구,1,3,1,1,4,3,3,4,1,1
대비,1,2,3,5,0,2,2,3,3,4
대통령,1,4,2,0,2,1,4,1,1,1
대형,1,2,3,5,0,2,2,3,3,4
덕분에,3,3,1,1,0,1,3,2,1,2
데일리카,3,3,1,1,0,1,3,2,1,2
도는,2,3,2,0,2,4,3,3,1,1
독일,3,2,2,3,1,1,2,2,2,2
동시에,4,4,4,2,0,3,4,3,3,1
두산밥캣,1,2,1,3,2,2,2,2,5,3
두산에너빌리티,1,2,1,3,2,2,2,2,5,3
두산퓨얼셀,1,2,1,3,2,2,2,2,5,3
디바이스팩,1,4,2,0,2,2,4,2,1,4
디스플레,0,0,2,0,0,0,0,2,6,0
라고,1,3,4,1,3,3,3,3,2,1
로봇,1,2,0,0,4,2,2,1,1,1
로이슈,0,3,2,1,1,3,3,2,2,4
리플,0,3,2,1,1,3,3,2,2,4
마스터플랜,2,3,2,0,2,4,3,3,1,1
만에,1,4,2,1,1,1,4,0,2,3
매수,1,2,1,3,2,2,2,2,5,3
머그잔,1,3,2,1,0,2,3,4,1,0
메타버스,2,4,3,1,3,3,4,3,3,3
메트로신문,2,4,3,1,3,3,4,3,3,3
면서,2,3,1,0,3,4,3,2,1,1
면접,1,3,1,1,4,3,3,4,1,1
모니터,1,2,3,1,0,1,2,3,8,1
모델,2,7,2,2,2,3,7,1,4,8
모빌리티,4,5,3,4,5,4,5,6,3,3
무료,0,3,3,0,3,3,3,1,2,4
문화적,1,3,2,0,4,1,3,0,1,1
물론,1,3,2,1,0,2,3,4,1,0
미래,1,3,1,1,4,3,3,4,1,1
미래모빌리티,1,3,1,1,4,3,3,4,1,1
민생경제,2,3,2,0,2,4,3,3,1,1
밋업,1,3,4,1,3,3,3,3,2,1
바로,3,3,1,1,0,1,3,2,1,2
박종국,1,2,0,0,4,2,2,1,1,1
반도체,2,3,2,0,2,4,3,3,1,1
밝혔다.,5,4,4,3,4,3,4,5,3,3
배터리,0,3,3,0,3,3,3,1,2,4
벤큐,0,0,2,0,0,0,0,2,6,0
보상,0,3,3,0,3,3,3,1,2,4
