org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8
-반도체,1,1,2,0,3,1,4,2,0
0개,1,1,2,0,2,0,3,0,0
2023년,2,5,7,7,5,4,4,6,6
2025년,3,5,5,5,4,4,7,6,1
2차,1,2,0,1,0,1,3,1,0
2차전지,2,2,5,4,5,3,4,3,1
30개사,1,2,0,1,0,1,3,1,0
3세,8,3,0,0,2,0,4,0,0
8.6세대,1,2,2,2,1,1,0,0,5
9개월,4,2,0,0,0,1,2,2,0
9월,1,2,1,0,0,1,3,2,0
AI,26,23,17,15,12,13,37,20,4
AI로,3,3,3,2,2,3,3,4,0
APEC,1,1,1,1,1,4,2,1,1
AR,3,6,8,8,6,2,6,8,1
BMW,0,2,1,2,3,0,0,1,0
CEO,11,3,0,0,2,0,5,0,0
ESS,3,2,7,5,8,4,7,4,2
Fed,3,1,0,0,1,0,2,2,0
FIT,1,0,0,0,0,1,1,0,1
FOMC,3,1,0,0,1,0,2,2,0
GIST,1,2,2,3,3,0,3,2,1
IAA,1,5,1,2,3,2,2,2,2
IB토마토,0,2,3,2,1,1,0,2,5
IFA,2,1,1,1,2,4,1,5,1
IT,0,0,3,2,2,2,0,2,5
IT서비스,3,3,3,2,2,3,3,4,0
IT용,0,2,2,1,2,2,0,2,5
JDI,0,0,2,0,1,2,0,0,1
LG,1,0,2,0,1,4,1,1,1
LGCNS,3,1,3,3,1,4,3,4,1
LG전자,3,2,2,2,3,8,3,6,2
MS,1,0,0,0,0,2,1,1,0
MTN,1,1,2,0,3,1,4,2,0
OLED,3,11,29,16,18,21,5,14,51
Optical,2,3,3,4,3,1,3,4,1
QD,0,0,3,2,2,2,0,2,5
RGB,2,1,1,1,2,4,1,5,1
RTX,2,2,1,0,2,1,2,2,1
SI사업,3,3,2,3,2,3,3,3,0
SL,1,0,0,0,0,1,1,0,1
SOFC,1,1,3,2,3,0,3,0,0
TSMC,4,3,3,2,1,1,4,3,0
Won,2,1,0,1,0,0,3,0,1
가동,1,2,2,2,1,1,0,0,5
가로,1,2,1,0,1,0,1,0,1
감사,0,2,3,0,2,1,2,2,0
개발,2,2,5,4,5,3,4,3,1
개발자,3,3,3,2,2,3,3,4,0
거래,1,0,1,0,2,0,4,1,0
것으로,5,5,6,3,5,1,7,5,1
것은,0,2,4,2,3,2,1,2,5
것이,1,3,0,0,0,1,3,2,1
것이다.,1,5,1,2,3,2,2,2,2
게이밍,2,2,1,0,2,1,2,2,1
결정,3,1,0,0,1,0,2,2,0
결제,1,0,1,0,2,0,4,1,0
경영,0,2,5,3,4,3,0,4,10
경영진단실,0,2,3,0,2,1,2,2,0
경영진단팀,0,2,3,0,2,1,2,2,0
경험,3,1,3,3,1,4,3,4,1
계약,1,1,4,2,3,2,3,3,1
계열사,0,2,3,0,2,1,2,2,0
공간,1,2,2,0,1,0,3,1,0
공급,1,0,2,1,3,1,3,1,1
공세,0,1,3,2,1,2,1,3,5
공정,4,5,9,9,9,6,8,7,2
공통,1,2,1,0,0,1,3,2,0
관계,4,2,0,0,1,0,2,0,0
관련,2,3,3,4,3,1,3,4,1
관절,1,0,2,1,3,1,3,1,1
광전자,1,3,5,4,3,1,3,4,0
광학,3,7,12,11,11,3,10,10,1
교육,2,1,0,1,0,0,3,0,1
구글,1,0,1,0,2,0,4,1,0
국빈,8,3,0,0,2,0,4,0,0
그룹,0,4,7,2,5,3,3,4,5
그린광학,0,1,4,3,5,1,4,2,0
글래스,3,6,8,8,6,2,6,8,1
글로벌상생협력센터,1,1,1,1,1,4,2,1,1
금리,7,3,0,0,1,1,4,4,0
금리인하,4,2,0,0,0,1,2,2,0
금융IT,3,1,3,3,1,4,3,4,1
기능,2,3,4,0,3,0,6,1,0
기능도,1,3,0,0,0,1,4,0,1
기대,1,1,2,0,3,1,4,2,0
기반,1,0,1,0,2,0,4,1,0
기아,1,1,2,0,2,0,3,0,0
기업들,2,2,1,1,2,1,7,2,0
기업에,4,1,1,0,0,0,2,1,0
기자,3,11,9,4,10,6,7,7,10
기준금리,7,3,0,0,1,1,4,4,0
김광일,2,3,4,5,4,3,4,4,1
김승한,1,2,2,0,1,0,3,1,0
김정필,0,0,3,2,2,1,0,2,5
납품,1,0,2,1,3,1,3,1,1
내고,3,1,3,3,1,4,3,4,1
내부,0,2,3,0,2,1,2,2,0
내부거래,3,3,2,3,2,3,3,3,0
내비게이션,1,1,2,0,2,0,3,0,0
내연기관,1,5,1,2,3,2,2,2,2
노이어,0,2,1,2,3,0,0,1,0
노칭,2,3,4,5,4,3,4,4,1
뉴스토마토,0,2,3,2,1,1,0,2,5
뉴스핌,2,3,3,4,3,1,3,4,1
뉴욕,1,1,3,2,3,0,3,0,0
뉴욕증시,3,1,0,0,1,0,2,2,0
다양한,2,2,1,0,2,1,2,2,1
단순한,1,3,0,0,0,1,3,2,1
대구,1,2,2,3,3,0,3,2,1
대만,4,3,3,2,1,1,4,3,0
대만에,4,3,3,2,1,1,4,3,0
대비,5,3,4,2,3,3,5,5,1
대응방안,0,1,3,2,1,2,1,3,5
대통령,8,3,0,0,2,0,4,0,0
대표,10,9,8,9,5,11,12,12,1
대학,2,1,0,1,0,0,3,0,1
대한,0,2,4,2,3,2,1,2,5
대해,4,1,1,0,0,0,2,1,0
대형,0,1,4,3,5,1,4,2,0
데이터,1,2,2,3,3,0,3,2,1
데이터센터,1,1,3,2,3,0,3,0,0
덱스,1,2,2,0,1,0,3,1,0
도파관,2,3,3,4,3,1,3,4,1
독일,1,5,1,2,3,2,2,2,2
두께,1,2,2,0,1,0,3,1,0
두산퓨얼셀,1,1,4,2,3,2,3,3,1
둘러보고,0,0,3,2,2,2,0,2,5
등이다.,1,2,1,0,0,1,3,2,0
디스플레,1,4,9,5,11,3,7,3,1
따르면,4,1,1,0,0,0,2,1,0
레이저,2,3,4,5,4,3,4,4,1
로봇,1,0,2,1,3,1,3,1,1
로컬,1,3,0,0,0,1,4,0,1
로킷헬스케어,1,1,2,0,3,1,4,2,0
롯데시네마,1,2,1,0,1,0,1,0,1
리더,3,3,3,2,2,3,3,4,0
마이런,4,2,0,0,0,1,2,2,0
마이크로,2,1,1,1,2,4,1,5,1
마지막,4,1,0,0,1,0,2,0,0
만에,4,4,1,2,3,1,2,3,0
만찬,8,3,0,0,2,0,4,0,0
만찬에,4,1,0,0,1,0,2,0,0
말했습니다.,4,2,0,0,1,0,2,0,0
매출,4,6,7,7,5,4,6,7,0
머니투데이방송,1,1,2,0,3,1,4,2,0
메타버스,2,3,3,4,3,1,3,4,1
메타씨앤아이,1,1,3,1,4,0,3,1,0
메타표면,1,2,2,3,3,0,3,2,1
모델,0,2,1,2,3,0,0,1,0
모듈,1,3,5,2,6,3,4,2,2
모빌리티,0,2,1,2,3,0,0,1,0
모집,1,2,1,0,0,1,3,2,0
모터,1,0,2,1,3,1,3,1,1
목적지,1,3,0,0,0,1,4,0,1
무기,1,3,0,0,0,1,3,2,1
미국,7,5,2,0,5,3,5,4,2
미래,0,4,6,3,5,4,1,4,10
박막,1,3,5,4,3,1,3,4,0
박태준,1,1,2,0,3,1,4,2,0
반도체,7,7,15,10,15,5,15,9,1
반사,1,3,5,4,3,1,3,4,0
방문,4,2,0,0,1,0,2,0,0
방문하며,0,2,2,1,2,2,0,2,5
배덕훈,0,2,3,2,1,1,0,2,5
배상희,2,3,3,4,3,1,3,4,1
배터리,2,5,5,7,7,3,4,5,1
범한퓨얼셀,1,1,4,2,3,2,3,3,1
보도에,4,1,1,0,0,0,2,1,0
보안,1,2,2,3,3,0,3,2,1
보였다.,3,1,0,0,1,0,2,2,0
복제,1,2,2,3,3,0,3,2,1
본사,1,1,3,1,4,0,3,1,0
부문,4,4,10,5,6,7,8,9,2
부스,2,2,1,0,2,1,2,2,1
부품,2,4,9,6,6,3,6,7,1
분석,1,2,2,3,3,0,3,2,1
분야에서,1,2,2,3,3,0,3,2,1
블룸에너지,1,1,3,2,3,0,3,0,0
비전,0,2,1,2,3,0,0,1,0
비중,1,3,5,4,3,1,3,4,0
빠르게,1,1,3,2,3,0,3,0,0
사례,4,1,0,0,1,0,2,0,0
사실상,0,2,3,0,2,1,2,2,0
사업,7,13,23,15,18,12,16,17,7
사업부,0,2,3,0,2,1,2,2,0
사업장,1,9,19,12,11,10,2,11,35
사용자,1,3,0,0,0,1,4,0,1
사진,2,7,3,2,4,2,5,3,2
사회적,1,3,0,0,0,1,3,2,1
산업,1,2,2,3,3,0,3,2,1
삼성,1,4,5,0,3,1,5,3,0
삼성SDI,2,3,4,5,4,3,4,4,1
삼성SDS,3,3,2,3,2,3,3,3,0
삼성디스플레,1,7,20,13,11,10,2,11,35
삼성디스플레이,0,1,7,3,4,4,1,3,13
삼성바이오로직스,0,2,2,1,2,2,0,2,5
삼성전자,4,11,20,10,15,11,7,12,26
삼현,1,0,2,1,3,1,3,1,1
상장,2,4,8,8,9,4,8,6,1
새로운,4,1,0,0,1,0,2,0,0
생산,4,5,8,8,8,4,7,7,2
생산라인,1,7,18,12,10,10,1,11,35
생성형,3,3,2,3,2,3,3,3,0
서비스,1,3,0,0,0,1,4,0,1
서초AICT,1,2,0,1,0,1,3,1,0
선물,1,1,1,1,1,4,2,1,1
설계,1,1,3,1,4,0,3,1,0
설비,2,3,4,5,4,3,4,4,1
성과,5,4,3,3,2,3,6,4,1
성능,1,2,2,0,1,0,3,1,0
세계,1,0,2,1,3,1,3,1,1
