org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
10월,0,0,0,1,0,0,1,0,0,2,0
10회에서,0,0,0,0,0,0,1,1,0,0,0
1분기,0,2,1,1,0,0,1,0,0,0,0
1차,0,1,0,0,0,0,0,0,0,0,0
2000부,0,1,0,0,0,0,2,2,1,1,0
2023년,0,2,1,5,0,0,0,1,0,3,1
2025년,0,1,0,1,0,0,0,0,0,0,0
2o,1,0,0,0,0,0,1,1,12,1,0
2차,0,1,0,0,0,0,0,0,0,0,0
2차전지,0,2,1,1,1,0,2,1,0,5,1
3a,1,0,0,0,0,0,0,1,4,0,0
3개소,1,0,0,0,0,0,0,0,1,0,0
3년,0,0,0,0,0,0,1,1,0,0,0
3년간,0,0,0,1,0,0,0,2,0,3,0
3분기,0,1,1,2,2,1,1,4,0,3,3
4855억,0,1,1,2,2,1,1,4,0,3,3
4MATIC,1,1,1,0,2,1,2,1,1,3,1
4o,1,0,0,0,0,0,1,0,4,1,0
4월,0,1,0,1,0,0,0,0,0,0,0
5명,0,1,0,0,0,0,0,1,0,0,0
8.6세대,0,3,0,3,0,0,1,2,0,5,2
AI,2,10,12,7,7,7,23,16,2,23,19
AMG,1,1,1,0,2,1,2,1,1,3,1
AWD,1,1,1,0,2,1,2,1,1,3,1
AX,0,0,1,0,0,0,2,0,0,3,0
BOE,0,3,0,4,0,0,1,4,0,8,2
BOYNEXTDOOR,0,0,0,0,0,0,0,0,2,0,0
by,0,0,0,0,0,0,0,1,2,0,0
CBC뉴스,0,0,1,0,0,0,2,0,0,0,0
Copyright,0,0,4,0,3,5,0,0,0,2,2
CPU,0,0,0,0,0,0,1,1,0,2,1
CSOT,0,2,0,1,0,0,1,1,0,2,1
DB,0,0,0,0,0,0,0,1,2,0,0
Design,0,0,5,0,4,4,6,4,0,4,10
DGIST,0,1,0,2,0,0,1,2,0,3,0
ESS,0,2,1,1,1,0,2,1,0,5,1
FPCB,0,2,0,0,1,0,1,2,1,2,2
GDP,0,2,1,1,0,0,1,0,0,0,0
GFX,0,3,1,3,1,1,2,2,0,2,1
GMS,0,0,1,1,0,0,1,1,0,0,0
GTX,1,0,0,0,1,0,1,1,0,2,0
HP,1,0,1,0,0,0,2,0,1,1,0
HP코리아,1,0,1,0,0,0,2,0,1,1,0
IDEA,0,2,59,0,33,53,6,4,0,25,34
iF,0,1,5,0,2,3,0,0,0,1,2
IT용,0,3,0,3,0,0,1,2,0,5,2
KEIT,0,0,1,0,0,0,2,0,0,3,0
LCD,0,2,41,4,17,40,8,13,1,29,21
LG디스플레,0,1,1,2,2,1,1,4,0,3,3
LG디스플레이,0,1,1,2,2,1,1,4,0,3,3
LG이노텍,0,2,1,6,0,0,2,1,0,1,0
LG전자,0,4,1,2,0,0,8,11,2,8,2
MBC,6,2,1,1,0,0,0,0,2,0,0
MBN,0,0,0,0,0,0,1,1,0,0,0
OLED,0,9,2,9,1,0,13,22,2,29,8
PC,1,0,1,0,0,0,2,0,1,1,0
PSI,0,0,0,1,0,0,1,0,0,2,0
Q.,0,0,0,0,0,0,0,0,1,0,0
Samsung,0,0,8,0,6,6,9,6,0,6,15
TFSI,1,1,1,0,2,1,2,1,1,3,1
TV리포트,0,1,0,1,0,0,2,1,0,0,0
ZEROBASEONE,0,0,0,0,0,0,0,0,2,0,0
가격,0,6,2,8,0,0,10,15,1,14,4
가능한,0,6,2,3,1,1,3,1,0,2,3
가솔린,1,1,1,0,2,1,2,1,1,3,1
가자,0,1,0,1,0,0,0,0,0,0,0
가장,0,0,0,0,0,0,1,1,0,0,0
가전,1,2,1,0,0,0,2,1,0,1,2
감성,0,3,2,1,1,1,0,0,0,1,1
강군,1,0,0,0,0,0,2,0,0,0,0
강사,20,7,3,3,0,0,3,0,0,1,0
강의,29,11,5,5,0,0,5,0,0,2,0
강조했다.,0,1,0,0,0,0,1,1,1,4,1
같다.,5,1,0,0,0,0,1,0,0,0,0
같은,0,1,1,3,0,0,1,1,0,2,0
개발,0,2,1,1,1,0,2,1,0,5,1
개선에,0,0,0,1,0,0,1,0,0,2,0
개통,1,2,0,1,0,0,0,1,0,2,0
갤럭시,1,2,9,0,6,6,11,7,0,7,17
거래,0,0,0,0,0,0,1,1,0,0,0
건강,7,1,0,0,0,0,1,0,2,0,0
건강도시,2,0,0,0,0,0,0,0,2,0,0
검사장비,0,3,1,2,2,0,3,3,0,8,1
검역,0,1,0,0,0,0,1,0,0,1,0
것으로,0,4,1,5,2,1,4,9,0,10,6
것이,1,4,2,2,1,0,1,1,0,0,0
것이다.,0,1,0,1,0,0,0,0,0,0,0
게이밍,0,3,1,3,1,1,2,2,0,2,1
격차,1,0,1,0,0,0,2,0,1,1,0
결과,0,0,1,0,0,0,2,0,0,0,0
결혼식,0,1,0,1,0,0,2,1,0,0,0
경동나비엔,0,2,14,0,15,8,0,0,0,6,8
경직된,0,0,1,1,0,0,1,2,0,3,1
경험,1,2,9,0,4,7,5,3,0,5,9
계약,0,0,1,1,0,0,1,1,0,0,0
고객,0,3,0,0,0,0,3,3,1,2,0
고령,0,1,0,0,0,0,0,0,0,0,0
고백해,5,1,0,0,0,0,1,0,0,0,0
고부,0,1,0,3,0,0,2,1,0,1,0
공간,0,3,0,2,0,0,3,1,0,1,2
공장,0,2,1,6,0,0,2,1,0,1,0
공정,0,4,1,2,1,0,4,5,0,9,1
관세,0,1,1,1,0,0,4,5,1,3,2
광학솔루션,0,1,0,3,0,0,2,1,0,1,0
교보생명,0,1,0,0,0,0,1,1,0,1,0
교육,1,5,5,3,3,3,8,4,2,7,3
교통,1,0,0,0,1,0,1,1,0,2,0
구매,0,3,0,2,0,0,3,1,0,1,2
구미,0,1,1,3,0,0,0,0,0,0,0
구조,0,1,1,2,2,1,1,4,0,3,3
국가,0,2,1,1,0,0,1,0,0,0,0
국민,1,0,0,0,0,0,2,0,0,0,0
국제화,0,1,3,0,2,2,2,0,0,3,2
군수,0,1,0,0,0,0,0,1,0,0,0
권위,0,0,20,0,8,20,0,0,0,8,8
그녀,15,6,3,3,0,0,4,0,0,2,0
그는,1,5,5,2,3,2,3,1,0,3,2
그랑,1,1,1,0,2,1,2,1,1,3,1
그런,6,5,2,2,1,0,2,1,0,0,0
그룹장,0,1,0,0,0,0,1,1,1,4,1
근린공원,2,0,0,0,0,0,0,0,2,0,0
금산,1,0,0,0,0,0,0,0,1,0,0
금산천데크길,2,0,0,0,0,0,0,0,2,0,0
긍정적인,0,0,1,1,0,0,3,0,0,2,0
기기,1,2,1,0,1,0,3,2,2,3,2
기능,0,0,10,0,6,9,6,4,0,6,12
기반,0,3,1,3,1,1,2,2,0,2,1
기본사회,1,0,0,0,1,0,1,1,0,2,0
기본형,0,1,0,2,0,0,1,2,0,3,0
기업들,0,2,0,1,0,0,1,1,0,2,1
기자,5,2,5,1,2,5,3,1,0,2,2
기존,0,0,10,0,4,10,0,0,0,4,4
기준,0,3,1,3,1,1,2,2,0,2,1
기준치,0,0,0,1,0,0,1,0,0,2,0
김영일,0,0,5,0,2,5,0,0,0,2,2
김학동,0,1,0,0,0,0,0,1,0,0,0
깊은,1,0,0,1,0,0,2,1,0,0,1
꼽힌다.,0,0,5,0,2,5,0,0,0,2,2
나비엔,0,2,8,0,10,4,0,0,0,4,4
날입니다.,0,0,1,0,0,0,2,0,0,0,0
남동구청,0,0,0,0,1,0,0,1,0,0,0
남산공원,2,0,0,0,0,0,0,0,2,0,0
남편,0,1,0,1,0,0,2,1,0,0,0
내수,0,0,0,1,0,0,1,0,0,2,0
내수시장,0,0,1,1,0,0,1,2,0,3,1
내용,0,1,0,0,0,0,1,1,0,1,0
노년층,1,0,1,0,0,0,2,0,1,1,0
녹스,1,2,1,0,0,0,2,1,0,1,2
농축산물,0,1,0,0,0,0,1,0,0,1,0
높였으며,0,2,7,0,10,3,0,0,0,4,3
높은,0,1,0,0,0,0,1,0,0,1,0
눈이,5,1,0,0,0,0,1,0,0,0,0
뉴아틀라스,0,3,2,1,1,1,0,0,0,1,1
다양한,1,3,8,3,5,5,10,6,1,7,11
다큐멘터리,0,1,0,1,0,0,0,0,0,0,0
대금,0,0,1,1,0,0,1,1,0,0,0
대비,0,2,1,1,0,0,1,0,0,0,0
대학,0,1,3,0,2,2,2,0,0,3,2
대한,1,0,0,1,0,0,2,1,0,0,1
대해,1,4,2,2,1,0,1,1,0,0,0
더욱,0,0,1,0,0,0,2,0,0,0,0
더퍼블릭,0,0,5,0,2,5,0,0,0,2,2
덕후,5,2,1,1,0,0,0,0,0,0,0
데이터센터,0,1,1,1,0,0,4,5,1,3,2
데이트,0,0,0,0,0,0,1,1,0,0,0
도서,0,1,0,0,0,0,2,2,1,1,0
도시,1,0,0,0,1,0,1,1,0,2,0
도시에서,2,0,0,0,0,0,0,0,2,0,0
독일,0,1,5,0,2,3,0,0,0,1,2
동건,0,0,0,0,0,0,1,1,0,0,0
된다.,1,0,0,0,0,0,0,0,1,0,0
드라마,0,1,0,1,0,0,2,1,0,0,0
드라이버,0,2,0,1,0,0,2,4,0,4,0
등의,0,1,0,0,0,0,2,1,0,1,0
디스플레,0,3,0,2,1,0,5,5,0,7,5
디자인,0,3,66,0,40,57,9,6,0,29,41
디지털고객창구,0,1,0,0,0,0,1,1,0,1,0
따라,2,2,20,1,8,20,0,1,1,10,8
따르면,0,1,0,2,0,0,0,1,0,3,1
때문이다.,0,1,1,1,0,0,4,5,1,3,2
라고,4,2,1,1,0,0,1,1,0,0,0
라이프,0,0,1,0,0,0,2,0,0,3,0
라인,1,2,1,2,2,1,5,7,1,10,3
레트로,0,3,2,1,1,1,0,0,0,1,1
롯데그룹,0,2,0,2,0,0,2,1,0,2,2
롯데호텔에서,0,2,0,2,0,0,2,1,0,2,2
루피아,0,0,1,1,0,0,1,1,0,0,0
마음,1,0,1,1,0,0,4,1,0,0,1
만나다,2,0,0,0,0,0,0,0,2,0,0
만들,0,0,0,1,0,0,0,2,0,3,0
말했다.,0,1,3,0,2,2,2,0,0,3,2
매니저,24,10,5,5,0,0,4,0,0,2,0
매장,0,2,0,2,0,0,2,1,0,2,2
매출,0,1,0,1,1,0,1,2,0,3,0
맥북,0,1,0,2,0,0,0,1,0,3,1
메트로신문,0,0,4,0,3,5,0,0,0,2,2
명은,0,0,0,0,0,0,1,1,0,0,0
모델,2,4,1,3,2,1,3,4,1,8,1
모듈,0,2,1,6,0,0,2,1,0,1,0
모듈러,1,2,1,0,0,0,2,1,0,1,2
모든,0,1,0,1,0,0,0,0,0,0,0
모바일,0,0,8,0,6,6,9,6,0,6,15
모범공무원,0,1,0,0,0,0,0,1,0,0,0
모빌리티,0,1,0,0,0,0,1,1,1,4,1
몰락,0,0,1,1,0,0,1,2,0,3,1
무빙스타일,0,3,0,2,0,0,3,1,0,1,2
무엇,0,1,1,3,0,0,1,1,0,2,0
미국,0,1,5,0,2,3,0,0,0,1,2
박정민,1,4,2,2,1,0,1,1,0,0,0
반도체,0,5,2,3,2,0,7,7,0,15,1
반등,0,1,1,2,2,1,1,4,0,3,3
반입,0,1,0,0,0,0,1,0,0,1,0
발표했다.,0,1,0,2,0,0,0,1,0,3,1
밝혔다.,0,4,2,6,1,1,2,2,0,2,1
배송,0,0,0,0,0,0,1,1,0,0,0
배우,2,4,2,3,1,0,3,2,0,0,1
배터리,0,0,0,0,0,0,1,1,0,2,1
배터리턴,0,1,0,0,0,0,2,2,1,1,0
버튼식,0,0,5,0,2,5,0,0,0,2,2
범용,0,1,0,3,0,0,2,1,0,1,0
법원,0,0,1,1,0,0,1,1,0,0,0
법인,0,0,1,1,0,0,1,1,0,0,0
베스트샵,0,1,0,0,0,0,2,2,1,1,0
베트남,0,2,1,6,0,0,2,1,0,1,0
변화에,0,0,1,1,0,0,1,2,0,3,1
보드,0,1,0,1,1,0,1,2,0,3,0
보세요.,0,0,1,0,0,0,2,0,0,0,0
보안,1,2,1,0,0,0,2,1,0,1,2
보였다.,0,0,0,1,0,0,1,0,0,2,0
보장,0,1,0,0,0,0,1,1,0,1,0
보험,0,1,0,0,0,0,1,1,0,1,0
본상,0,3,53,0,32,46,0,0,0,21,24
본점,0,1,0,0,0,0,2,2,1,1,0
부문,0,2,4,0,4,5,1,2,1,4,4
부문에서,0,1,0,0,0,0,0,1,0,0,0
부부,0,1,0,1,0,0,2,1,0,0,0
부채,0,2,1,1,0,0,1,0,0,0,0
부총장,0,1,3,0,2,2,2,0,0,3,2
부품,0,1,0,3,0,0,2,1,0,1,0
부품으로,0,2,0,0,1,0,1,2,1,2,2
분석,0,1,0,0,0,0,1,1,0,1,0
분실,0,0,0,0,0,0,1,1,0,0,0
분야,0,1,5,0,2,3,0,0,0,1,2
뷰파인더,0,3,2,1,1,1,0,0,0,1,1
블랙,1,1,1,0,2,1,2,1,1,3,1
비에이치,0,2,0,0,1,0,1,2,1,2,2
비연예인,0,1,0,1,0,0,2,1,0,0,0
비율,0,2,1,1,0,0,1,0,0,0,0
비전,1,2,1,0,0,0,2,1,0,1,2
비행,1,0,0,0,0,0,2,0,0,0,0
비행정보,0,1,5,0,2,3,0,0,0,1,2
비호산,2,0,0,0,0,0,0,0,2,0,0
빠르게,0,1,0,0,0,0,1,1,0,1,0
사람,5,7,3,3,1,0,3,3,1,4,1
사수자리,0,0,1,0,0,0,2,0,0,0,0
사업,0,7,4,7,4,1,8,12,2,13,8
사용,1,2,0,1,0,0,1,2,0,4,1
사용시간,0,0,0,0,0,0,1,1,0,2,1
사용자,1,2,21,0,11,18,2,1,0,9,11
사용할,0,3,0,2,0,0,3,1,0,1,2
사전,1,0,0,0,0,0,2,0,0,0,0
사진,6,6,4,6,1,1,3,2,0,3,2
사회공헌,1,1,1,0,0,0,2,1,1,1,0
사회봉사,0,1,0,0,0,0,0,1,0,0,0
산업,0,1,3,1,2,2,2,2,0,6,2
산업연구원,0,0,0,1,0,0,1,0,0,2,0
산학,0,1,3,0,2,2,2,0,0,3,2
삶의,1,0,0,0,1,0,1,1,0,2,0
삼성,0,0,8,0,7,6,11,7,0,9,18
삼성디스플레,0,2,0,2,0,0,1,2,1,7,2
삼성디스플레이,0,1,0,2,0,0,0,1,0,3,1
삼성물산,0,0,0,0,1,0,1,0,0,1,2
삼성바이오로직스,0,0,0,0,1,0,1,0,0,1,2
삼성전기,0,0,0,0,1,0,1,0,0,1,2
삼성전자,1,8,9,5,7,6,20,13,0,15,25
상담,0,1,0,0,0,0,1,1,0,1,0
상의,0,2,0,2,0,0,2,1,0,2,2
새로운,0,0,1,0,0,0,2,0,0,0,0
생과실,0,1,0,0,0,0,1,0,0,1,0
생산,0,4,1,5,1,0,7,6,0,10,3
생산능력,0,0,0,1,0,0,0,2,0,3,0
생산라인,0,2,0,1,0,0,1,1,0,2,1
생산량,0,1,0,2,0,0,1,2,0,3,0
생활가전,0,1,1,1,0,0,4,5,1,3,2
샤프,0,0,1,1,0,0,1,2,0,3,1
서로,0,0,0,0,0,0,1,1,0,0,0
서비스,0,1,0,0,0,0,1,1,0,1,0
선정,1,0,0,0,0,0,0,0,1,0,0
선행,0,0,8,0,6,6,9,6,0,6,15
설계사,0,1,0,0,0,0,1,1,0,1,0
설비,0,0,1,1,0,0,1,2,0,3,1
설치,0,0,5,0,5,3,0,0,0,2,3
성능,0,1,0,2,0,0,2,3,0,5,1
성장,0,2,0,0,1,0,1,2,1,2,2
세계,0,2,5,2,2,2,7,7,1,9,5
세미나,0,1,0,1,0,0,3,4,0,4,2
세피데,0,1,0,1,0,0,0,0,0,0,0
셔터,0,1,1,3,0,0,1,1,0,2,0
소병홍,1,0,1,0,0,0,2,0,1,1,0
소비자원,0,0,0,0,0,0,1,1,0,0,0
소비쿠폰,0,1,0,0,0,0,0,0,0,0,0
소속사,0,1,0,1,0,0,2,1,0,0,0
소송,0,0,1,1,0,0,1,1,0,0,0
소재,0,2,0,1,0,0,2,4,0,4,0
소켓,0,1,0,1,1,0,1,2,0,3,0
손잡,0,3,0,2,0,0,3,1,0,1,2
솔루션,1,4,2,1,1,0,4,2,0,6,3
송고,0,1,0,0,0,0,1,0,0,1,0
송승헌,1,0,0,1,0,0,2,1,0,0,1
수강료,1,2,0,0,0,0,2,0,0,1,0
수강생,1,2,0,0,0,0,2,0,0,1,0
수리온,1,0,0,0,0,0,2,0,0,0,0
수상,0,2,7,0,10,3,0,0,0,4,3
수상하며,0,0,5,0,2,5,0,0,0,2,2
수상한,0,1,5,0,2,3,0,0,0,1,2
수상했다.,0,1,0,0,0,0,0,1,0,0,0
수익성,0,2,2,5,2,1,1,4,0,3,3
수출,0,0,0,1,0,0,1,0,0,2,0
숙면매트,0,2,8,0,10,4,0,0,0,4,4
순환,0,1,0,0,0,0,2,2,1,1,0
스마트폰,0,5,2,1,2,1,1,2,1,3,3
스크린,0,3,0,2,0,0,3,1,0,1,2
스타,6,2,1,2,0,0,2,1,0,0,1
스탠드,0,3,0,2,0,0,3,1,0,1,2
스탬프,2,0,0,0,0,0,0,0,2,0,0
스테인리스,0,2,0,1,0,0,2,4,0,4,0
스튜디오,0,0,0,0,0,0,1,1,0,0,0
스포츠,1,0,0,0,1,0,1,1,0,2,0
스포트백,1,1,1,0,2,1,2,1,1,3,1
