term,cur,prev,diff,ma7,z_like,total
사상,6,0,6,1.143,2.348,11
애플,7,3,4,1.857,2.177,16
엔비디아,7,2,5,2.143,1.971,18
지수,4,0,4,0.571,1.953,5
뉴욕증시,6,0,6,1.714,1.856,12
경신,3,0,3,0.429,1.554,9
국제표준,3,0,3,0.429,1.554,3
스트레처블,3,0,3,0.429,1.554,3
최고치,4,0,4,1.0,1.5,7
탑재,3,1,2,0.571,1.383,4
메타,4,0,4,1.429,1.171,11
3d,2,0,2,0.286,1.117,2
after,2,0,2,0.286,1.117,3
lgu,2,0,2,0.286,1.117,2
가민,2,0,2,0.286,1.117,2
강세에,2,0,2,0.286,1.117,2
다이내믹,2,0,2,0.286,1.117,2
디스플레이업계,2,0,2,0.286,1.117,2
로봇이,2,0,2,0.286,1.117,2
매립,2,0,2,0.286,1.117,2
무안경,2,0,2,0.286,1.117,2
발광재료,2,0,2,0.286,1.117,2
사위,2,0,2,0.286,1.117,2
삼전의,2,0,2,0.286,1.117,2
신고가,2,0,2,0.286,1.117,8
아이폰18,2,0,2,0.286,1.117,2
아일랜드,2,0,2,0.286,1.117,2
인증,2,0,2,0.286,1.117,5
제로,2,0,2,0.286,1.117,2
조롱,2,0,2,0.286,1.117,2
종목은,2,0,2,0.286,1.117,2
초격차,2,0,2,0.286,1.117,2
폐기물,2,0,2,0.286,1.117,2
흥행에,2,0,2,0.286,1.117,2
글래스,3,0,3,0.857,1.113,6
대박,3,1,2,0.857,1.113,6
적자,3,2,1,0.857,1.113,6
아이폰17,8,5,3,4.571,1.093,39
스마트폰,4,2,2,1.571,1.078,12
급등,3,2,1,1.0,1.0,14
도움,3,4,-1,1.0,1.0,7
통과,3,4,-1,1.0,1.0,7
가격,2,0,2,0.429,0.95,3
대화,2,0,2,0.429,0.95,3
라인,2,0,2,0.429,0.95,4
무슨,2,0,2,0.429,0.95,3
사업장,2,0,2,0.429,0.95,4
증권가,2,0,2,0.429,0.95,8
콧노래,2,0,2,0.429,0.95,3
패널,2,0,2,0.429,0.95,6
함박웃음,2,0,2,0.429,0.95,4
kt,4,1,3,1.857,0.907,13
3대,3,0,3,1.143,0.898,8
중국,3,2,1,1.143,0.898,9
브리핑,3,3,0,1.143,0.898,9
협력사,3,4,-1,1.143,0.898,8
디스플레이,8,2,6,5.286,0.823,53
까지,2,0,2,0.571,0.814,4
나스닥,2,0,2,0.571,0.814,4
동반,2,0,2,0.571,0.814,11
선택과,2,0,2,0.571,0.814,4
최주선,2,0,2,0.571,0.814,4
클라쓰,2,0,2,0.571,0.814,4
개막,2,1,1,0.571,0.814,6
폴더블,2,1,1,0.571,0.814,5
대폭,2,2,0,0.571,0.814,5
맥스,2,2,0,0.571,0.814,4
비에이치,2,2,0,0.571,0.814,4
오빠한테,2,2,0,0.571,0.814,4
작은,2,2,0,0.571,0.814,4
조기지급,2,2,0,0.571,0.814,4
대금,3,6,-3,1.286,0.803,9
oled,9,7,2,6.429,0.727,65
전환,2,0,2,0.714,0.697,9
판매,2,1,1,0.714,0.697,5
부품사들,2,2,0,0.714,0.697,5
신규,2,2,0,0.714,0.697,16
최신,2,2,0,0.714,0.697,11
특징주,2,2,0,0.714,0.697,24
추나대전,2,3,-1,0.714,0.697,5
100,1,0,1,0.143,0.622,1
110만원,1,0,1,0.143,0.622,1
14,1,0,1,0.143,0.622,1
1천억,1,0,1,0.143,0.622,2
2025에서,1,0,1,0.143,0.622,1
21개국,1,0,1,0.143,0.622,1
23,1,0,1,0.143,0.622,1
23일,1,0,1,0.143,0.622,1
256gb,1,0,1,0.143,0.622,1
2만번의,1,0,1,0.143,0.622,1
2천대,1,0,1,0.143,0.622,1
49,1,0,1,0.143,0.622,2
4개국서,1,0,1,0.143,0.622,1
500,1,0,1,0.143,0.622,1
50만,1,0,1,0.143,0.622,1
50평,1,0,1,0.143,0.622,1
57,1,0,1,0.143,0.622,1
5g,1,0,1,0.143,0.622,1
5위,1,0,1,0.143,0.622,1
60,1,0,1,0.143,0.622,1
6g,1,0,1,0.143,0.622,1
6개월,1,0,1,0.143,0.622,1
6배,1,0,1,0.143,0.622,1
72시간,1,0,1,0.143,0.622,2
7일로,1,0,1,0.143,0.622,1
9500,1,0,1,0.143,0.622,1
96년,1,0,1,0.143,0.622,1
9만전자,1,0,1,0.143,0.622,1
9일,1,0,1,0.143,0.622,1
a6,1,0,1,0.143,0.622,1
advance,1,0,1,0.143,0.622,1
amd,1,0,1,0.143,0.622,1
amid,1,0,1,0.143,0.622,1
another,1,0,1,0.143,0.622,1
ap,1,0,1,0.143,0.622,1
apex,1,0,1,0.143,0.622,1
assembly,1,0,1,0.143,0.622,1
breaches,1,0,1,0.143,0.622,1
card,1,0,1,0.143,0.622,1
challenges,1,0,1,0.143,0.622,1
confirms,1,0,1,0.143,0.622,1
crackdown,1,0,1,0.143,0.622,2
cyber,1,0,1,0.143,0.622,1
data,1,0,1,0.143,0.622,1
day,1,0,1,0.143,0.622,1
deck,1,0,1,0.143,0.622,1
diego,1,0,1,0.143,0.622,1
esg,1,0,1,0.143,0.622,1
eventually,1,0,1,0.143,0.622,1
expands,1,0,1,0.143,0.622,1
