org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
000원에,1,0,0,0,1,0,1,0,2,1,1,0,1,1
10월,1,2,2,2,0,0,0,1,2,0,3,2,9,0
120Hz,0,0,1,0,0,0,0,1,0,0,0,0,0,0
12억달러,1,3,2,1,2,0,4,3,1,1,1,2,2,1
1410원대,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1mm,1,1,1,1,0,1,0,1,0,0,3,2,2,1
2024년,3,2,5,4,3,3,3,4,2,1,6,6,5,3
2025년,3,3,5,6,5,3,3,5,2,1,5,6,4,2
2030년,1,3,2,1,2,0,4,3,1,1,1,2,2,1
2030년에,0,3,2,2,2,0,3,3,0,1,1,3,2,2
24시간,1,0,0,1,0,0,0,0,2,0,1,1,2,0
270그루,0,0,0,0,0,0,0,0,0,0,5,1,1,0
29선,1,0,0,0,1,0,1,0,1,1,1,2,0,1
2명,0,0,0,1,0,0,0,0,0,0,1,1,0,0
3360선,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3400선,1,0,0,2,1,0,0,1,0,0,1,1,0,0
3분기,1,1,3,2,1,0,1,1,0,1,1,3,0,2
3일부터,1,0,0,1,0,0,0,0,2,0,1,1,2,0
400Hz,0,1,0,0,0,3,0,1,0,1,1,0,0,0
4년제,2,1,3,1,1,1,1,5,1,0,2,0,1,1
4명,0,0,0,1,0,0,0,0,0,0,1,1,0,0
5.4톤,0,0,0,0,0,0,0,0,0,0,5,1,1,0
500니트,0,0,1,0,0,0,0,1,0,0,0,0,0,0
50만원,0,0,0,0,0,0,0,0,1,0,1,0,3,1
5G,4,3,2,2,2,0,2,4,3,0,3,4,0,3
64GB,0,1,0,0,0,3,0,1,0,1,1,0,0,0
6월,0,0,0,0,0,0,0,1,0,0,0,0,1,1
6자,0,0,0,1,0,0,0,0,1,0,1,3,1,0
750e,0,1,1,0,0,2,0,1,0,0,1,5,1,2
7시리즈,0,1,1,0,0,2,0,1,0,0,1,5,1,2
8.6G,1,0,2,2,5,0,1,3,0,1,2,2,0,0
8.6세대,4,0,7,6,12,0,5,7,2,3,4,1,1,1
8세대,3,0,4,4,10,1,3,6,1,2,2,1,1,0
9월,0,0,0,1,0,0,0,0,1,0,1,3,1,0
AI,25,12,31,33,17,12,30,31,35,8,25,34,14,15
AMAZE,1,1,2,0,0,0,1,3,1,0,2,2,1,2
AMD,0,1,0,0,0,3,0,1,0,1,1,0,0,0
and,0,0,0,0,0,0,2,1,1,0,0,0,0,0
aoen,0,0,0,0,0,0,0,1,0,0,0,0,1,1
AP시스템,6,0,8,11,25,1,6,13,1,5,6,3,1,0
AR,2,0,4,0,2,0,3,5,1,1,2,3,0,3
Autumn,2,0,2,0,2,0,1,2,1,0,2,1,1,0
A사,0,0,1,5,1,1,0,2,0,0,1,3,0,1
BIO-DAY,2,1,0,2,0,0,1,1,1,0,1,1,0,0
BMW,0,1,1,0,0,2,0,1,0,0,1,5,1,2
BOE,1,0,4,1,2,0,2,2,1,1,2,1,0,1
by,0,0,0,0,0,0,2,1,1,0,0,0,0,0
CEO,2,0,1,6,1,0,4,1,6,0,2,2,2,0
chips,0,0,0,0,0,0,2,1,1,0,0,0,0,0
CIOE,2,1,2,3,4,2,1,4,1,0,3,3,2,0
CLA,1,0,2,1,1,3,2,2,0,0,2,4,1,1
CLENOX,0,18,1,0,0,3,8,1,0,0,4,2,0,4
CLS,0,2,0,0,0,0,0,0,0,0,0,4,0,0
CNS,18,5,16,9,5,8,8,13,11,5,7,13,1,4
cooling,0,0,0,0,0,0,2,1,1,0,0,0,0,0
Copyright,1,0,0,2,1,0,0,1,0,0,1,1,0,0
Corintis,0,0,0,0,0,0,2,1,1,0,0,0,0,0
Cough,0,0,0,0,0,0,0,1,0,0,0,0,1,1
CTO,9,8,45,1,17,17,27,19,3,9,15,15,0,1
DMA,0,0,0,2,1,0,0,0,0,0,2,1,0,2
ELA,6,0,8,11,25,1,6,13,1,5,6,3,1,0
ESG,0,0,0,0,0,0,0,1,0,0,10,2,2,0
EU,0,0,0,2,1,0,0,0,0,0,2,1,0,2
for,0,0,0,0,0,0,2,1,1,0,0,0,0,0
G03-8236672469,4,1,2,1,0,1,1,2,1,0,1,0,0,0
GhostM,0,0,0,0,0,0,0,2,0,0,2,0,0,10
Global,0,0,0,0,0,0,0,2,0,0,2,0,0,10
hy,0,0,0,0,0,0,0,1,0,0,10,2,2,0
in,0,0,0,0,0,0,2,1,1,0,0,0,0,0
Incredibles,0,0,0,0,0,0,0,1,0,0,0,0,1,1
