org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11
0개,1,1,0,1,0,0,1,0,1,0,1,0
100번째,0,0,0,0,0,1,0,2,1,0,0,0
10월,0,2,4,6,0,2,3,4,1,0,2,2
120Hz,1,0,0,0,0,0,1,0,1,0,0,0
12억달러,3,1,1,1,2,3,3,2,2,3,3,1
2016년부터,0,1,0,2,0,1,0,2,0,0,0,0
2024년,9,11,8,7,4,14,10,8,10,3,8,1
2025년,5,5,7,6,2,8,8,5,5,3,7,3
2030년,3,1,1,1,2,3,3,2,2,3,3,1
2030년에,3,1,2,1,2,2,4,2,1,3,2,1
2가지,3,1,0,1,1,0,2,1,3,2,1,1
2분기,13,3,3,4,5,2,8,9,4,14,4,3
2층,0,0,1,3,0,1,0,1,0,0,1,1
3분기,5,0,1,3,2,1,3,2,2,4,2,1
40주년,0,0,0,4,2,0,0,3,2,0,1,0
500니트,1,0,0,0,0,0,1,0,1,0,0,0
5G,3,3,5,3,1,1,4,2,4,1,2,1
6시간,0,0,0,0,0,1,0,2,1,0,0,0
8.6G,3,3,2,1,5,1,3,1,2,3,0,1
8.6세대,48,18,16,9,32,13,31,28,16,50,16,12
8세대,6,6,4,1,10,6,8,3,4,6,1,2
8월,0,0,0,0,0,0,2,2,2,0,1,0
9월,0,1,1,1,0,2,2,1,0,0,0,1
AI,32,20,23,21,14,13,25,15,24,21,28,13
AMAZE,3,0,2,4,1,0,2,2,2,0,1,0
and,0,0,1,0,0,0,0,0,1,1,1,0
AP시스템,13,15,10,3,25,13,17,7,8,15,1,5
AR,3,1,5,1,1,1,2,2,1,3,3,2
BOE,12,5,5,3,7,3,7,5,6,9,5,3
by,0,0,1,0,0,0,0,0,1,1,1,0
CCTV,0,1,0,1,0,1,0,5,1,0,1,0
CGV,0,0,0,3,0,0,0,2,1,0,1,0
chips,0,0,1,0,0,0,0,0,1,1,1,0
CIOE,3,0,2,0,0,1,2,0,0,0,0,0
CJ,1,3,1,5,1,4,3,3,4,0,3,0
CLENOX,1,3,1,12,2,0,1,4,0,8,4,0
CLS,0,0,0,1,1,0,0,3,1,0,0,0
CNS,5,5,2,4,4,2,3,2,4,4,3,5
cooling,0,0,1,0,0,0,0,0,1,1,1,0
Corintis,0,0,1,0,0,0,0,0,1,1,1,0
DX,1,2,0,2,0,0,1,0,1,0,2,0
ELA,13,15,10,3,25,13,17,7,8,15,1,5
ETF,1,0,0,2,0,0,2,2,2,0,1,0
FIA,0,0,0,0,0,1,0,2,1,0,0,0
for,0,0,1,0,0,0,0,0,1,1,1,0
HS,2,3,2,3,1,5,3,3,3,0,1,0
in,0,0,1,0,0,0,0,0,1,1,1,0
is,0,0,1,0,0,0,0,0,1,1,1,0
IT,0,1,0,2,0,1,0,2,0,0,0,0
K-pop,3,0,2,4,1,0,2,2,2,0,1,0
KBL,0,0,0,3,0,0,0,2,1,0,1,0
KOTRA,2,3,2,3,1,5,3,3,3,0,1,0
Laser,2,3,2,1,5,3,3,1,1,3,0,1
LCD,10,3,2,2,2,0,5,7,3,4,4,2
LCD...OLED,4,0,0,0,1,0,1,1,0,2,0,1
LED,11,6,8,6,4,3,12,7,5,10,8,2
LFD,4,1,1,1,2,0,2,1,2,3,2,5
LF몰,0,0,0,2,0,0,0,1,0,0,0,0
LG,5,5,2,4,4,2,3,2,4,4,3,5
LGD,4,0,0,0,1,0,1,1,0,2,0,1
LG디스플레,36,9,9,5,15,5,17,20,12,28,10,10
LG디스플레이,16,3,5,3,5,2,9,10,4,13,3,3
LG유플러스,1,1,1,3,1,1,1,0,0,0,0,0
LG화학,1,1,0,1,0,0,1,0,1,0,1,0
LLO,3,3,2,1,5,1,3,1,2,3,0,1
LTPO,4,2,2,1,4,2,3,1,3,2,0,1
LTPS,3,2,2,1,4,2,2,1,2,2,0,1
Micro-LED,10,6,7,6,4,5,13,8,6,10,10,2
MZ세대,0,0,0,4,2,0,0,3,2,0,1,0
NB,0,1,1,5,1,0,0,2,0,4,2,0
of,0,0,1,0,0,0,0,0,1,1,1,0
OLED,159,66,53,45,97,44,99,80,65,129,52,72
OMEN,17,3,6,6,11,0,8,7,8,11,6,22
on,0,0,1,0,0,0,0,0,1,1,1,0
P-Complex,0,0,1,2,0,0,0,1,0,2,1,0
