date,type,title,url,source
,LAUNCH,"[현장] 韓 IT산업 기둥 '디스플레이', 미래 청사진은",https://www.sisaweek.com/news/articleView.html?idxno=229427,
,INVEST,"[현장] 韓 IT산업 기둥 '디스플레이', 미래 청사진은",https://www.sisaweek.com/news/articleView.html?idxno=229427,
,LAUNCH,"삼성·LG 디스플레이 수장, 나란히 “하반기 실적 자신감” [종합]",https://www.etoday.co.kr/news/view/2510805,
,INVEST,"삼성·LG 디스플레이 수장, 나란히 “하반기 실적 자신감” [종합]",https://www.etoday.co.kr/news/view/2510805,
,ORDER,"삼성·LG 디스플레이 수장, 나란히 “하반기 실적 자신감” [종합]",https://www.etoday.co.kr/news/view/2510805,
,INVEST,"이청 삼성D 사장 ""AI·로봇, 디스플레이 위기를 기회로 바꿀 것""(종합)",https://www.yna.co.kr/view/AKR20250926051300003?input=1195m,
,LAUNCH,삼성·LG디스플레이 수장들 “하반기 실적 긍정적”,http://www.newstomato.com/ReadNews.aspx?no=1276417&inflow=N,
,INVEST,삼성·LG디스플레이 수장들 “하반기 실적 긍정적”,http://www.newstomato.com/ReadNews.aspx?no=1276417&inflow=N,
,LAUNCH,삼성·LG디스플레이…中 추격에 맞설 무기는  OLED  기술력,https://www.hankyung.com/article/202509260991i,
,INVEST,삼성·LG디스플레이…中 추격에 맞설 무기는  OLED  기술력,https://www.hankyung.com/article/202509260991i,
,INVEST,"이청 삼성D 사장 ""8.6세대  OLED  내년 2분기 말 양산""",http://news.bizwatch.co.kr/article/industry/2025/09/26/0056,
,LAUNCH,삼성D·LGD “하반기 실적 긍정적으로 보고 있다”,https://biz.heraldcorp.com/article/10584630?ref=naver,
,INVEST,삼성D·LGD “하반기 실적 긍정적으로 보고 있다”,https://biz.heraldcorp.com/article/10584630?ref=naver,
,INVEST,"“디스플레이 성능은 게임을 해보면 안다”…삼성D, 엔씨 손 잡고 도쿄...",https://www.segye.com/newsView/20250926506020?OutUrl=naver,
,INVEST,[제16회 디스플레이의 날] 특별공로상에 최주선·김현재·조성경,https://www.etnews.com/20250926000086,
,INVEST,"정철동 LG디스플레이 사장 ""韓 미래는  OLED …연간 흑자""",https://www.financialpost.co.kr/news/articleView.html?idxno=234022,
,LAUNCH,"삼성디스플레이, TGS 2025서  OLED  체험존 운영",http://www.thelec.kr/news/articleView.html?idxno=41434,
,INVEST,"삼성디스플레이, TGS 2025서  OLED  체험존 운영",http://www.thelec.kr/news/articleView.html?idxno=41434,
,INVEST,"삼성D, '도쿄게임쇼'에서 신작게임  OLED  체험존 운영…""한계 없는 몰입 ...",https://www.pointdaily.co.kr/news/articleView.html?idxno=272095,
,LAUNCH,"[산업 이모저모] LG디스플레이 윤수영 CTO, '디스플레이의 날' 행사서 은...",https://www.greened.kr/news/articleView.html?idxno=331606,
,INVEST,"[산업 이모저모] LG디스플레이 윤수영 CTO, '디스플레이의 날' 행사서 은...",https://www.greened.kr/news/articleView.html?idxno=331606,
,CERT,"[산업 이모저모] LG디스플레이 윤수영 CTO, '디스플레이의 날' 행사서 은...",https://www.greened.kr/news/articleView.html?idxno=331606,
,INVEST,"삼성디스플레이, 엔씨와 도쿄게임쇼 2025서  OLED  화질 체험 마케팅",https://www.cstimes.com/news/articleView.html?idxno=669724,
,INVEST,"삼성디스플레이-엔씨소프트, 도쿄게임쇼 2025 체험존 운영",http://www.finomy.com/news/articleView.html?idxno=239951,
,LAUNCH,"마이크로 LED  시장 2030년 12억달러 급성장…""프리미엄 웨어러블 표준 예...",https://www.ddaily.co.kr/page/view/2025092614174664569,
,INVEST,"마이크로 LED  시장 2030년 12억달러 급성장…""프리미엄 웨어러블 표준 예...",https://www.ddaily.co.kr/page/view/2025092614174664569,
