org,topic_0,topic_1,topic_10,topic_11,topic_12,topic_13,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
AMD,,0.77 (0%),,0.70 (0%),0.74 (0%),0.70 (0%),,,0.78 (0%),,0.78 (0%),,,
ASUS,,1.54 (0%),,1.41 (1%),1.48 (1%),2.11 (1%),1.60 (1%),,6.27 (4%),1.73 (1%),3.13 (1%),,,
BOE,12.39 (3%),23.84 (7%),,15.50 (6%),16.32 (6%),11.28 (5%),,,9.40 (5%),,18.80 (7%),16.92 (6%),,
CES,3.65 (1%),1.54 (0%),,2.82 (1%),0.74 (0%),0.70 (0%),,,,,,0.77 (0%),0.78 (0%),2.23 (1%)
CSOT,7.29 (2%),10.77 (3%),,9.16 (3%),8.90 (3%),4.93 (2%),,,,,10.97 (4%),7.69 (3%),,5.19 (2%)
IoT,6.56 (2%),,,,2.23 (1%),2.11 (1%),7.19 (3%),,2.35 (1%),,2.35 (1%),2.31 (1%),,3.71 (1%)
LG디스플레이,30.62 (8%),50.76 (14%),,31.71 (11%),27.45 (10%),24.66 (10%),,,,,27.42 (11%),32.30 (11%),19.59 (12%),
LG전자,21.14 (5%),20.00 (6%),67.60 (79%),17.62 (6%),,15.50 (6%),15.97 (6%),,,17.30 (11%),,,,17.81 (7%)
LG화학,2.19 (1%),1.54 (0%),1.61 (2%),,,2.11 (1%),3.19 (1%),2.40 (1%),,,1.57 (1%),,2.35 (1%),
MWC,,,,0.70 (0%),,,,,,,,,,
SID,3.65 (1%),1.54 (0%),,2.82 (1%),0.74 (0%),0.70 (0%),,,,,,0.77 (0%),0.78 (0%),2.23 (1%)
SK하이닉스,30.62 (8%),12.31 (3%),,,,12.68 (5%),27.15 (10%),9.58 (6%),9.40 (5%),,,13.08 (5%),,20.77 (8%)
Semiconductor,1.46 (0%),,1.61 (2%),,,1.41 (1%),1.60 (1%),,,,,0.77 (0%),0.78 (0%),
TCL,3.65 (1%),8.46 (2%),,5.64 (2%),6.68 (2%),,,,,3.46 (2%),7.05 (3%),7.69 (3%),3.92 (2%),
V2X,6.56 (2%),,,,2.23 (1%),2.11 (1%),7.19 (3%),,2.35 (1%),,2.35 (1%),2.31 (1%),,3.71 (1%)
Visionox,,3.08 (1%),,2.82 (1%),6.68 (2%),2.11 (1%),,1.60 (1%),,1.73 (1%),3.13 (1%),3.08 (1%),,
구글,13.85 (3%),8.46 (2%),,11.28 (4%),,,9.58 (3%),12.78 (7%),10.19 (6%),,,,10.19 (6%),9.65 (4%)
기아,21.87 (5%),7.69 (2%),,7.75 (3%),,7.75 (3%),15.97 (6%),,5.48 (3%),,,9.23 (3%),,14.10 (6%)
네이버,7.29 (2%),2.31 (1%),,2.82 (1%),,,6.39 (2%),,1.57 (1%),,1.57 (1%),2.31 (1%),,5.19 (2%)
마이크로소프트,2.92 (1%),,,1.41 (1%),,,0.80 (0%),2.40 (1%),1.57 (1%),1.73 (1%),,,0.78 (0%),1.48 (1%)
메타,0.73 (0%),,,1.41 (1%),1.48 (1%),,0.80 (0%),1.60 (1%),1.57 (1%),,0.78 (0%),,,0.74 (0%)
미디어텍,6.56 (2%),,,,2.23 (1%),2.11 (1%),7.19 (3%),,2.35 (1%),,2.35 (1%),2.31 (1%),,3.71 (1%)
벤츠,,3.08 (1%),,,2.97 (1%),,2.40 (1%),4.79 (3%),,6.92 (4%),3.13 (1%),2.31 (1%),3.92 (2%),
비보,,5.38 (1%),,4.93 (2%),14.10 (5%),2.82 (1%),,3.19 (2%),,4.32 (3%),6.27 (2%),5.38 (2%),,
삼성디스플레이,46.22 (8%),56.52 (11%),,49.75 (12%),36.35 (9%),36.55 (10%),,,,,33.87 (9%),37.68 (9%),,25.66 (7%)
삼성전자,66.35 (16%),66.15 (18%),,42.28 (15%),,44.40 (18%),51.90 (19%),,,,38.39 (15%),46.92 (17%),,37.10 (15%)
샤오미,,5.38 (1%),,4.93 (2%),14.10 (5%),2.82 (1%),,3.19 (2%),,4.32 (3%),6.27 (2%),5.38 (2%),,
소니,2.92 (1%),,,1.41 (1%),,1.41 (1%),,2.40 (1%),3.13 (2%),2.59 (2%),,,1.57 (1%),1.48 (1%)
아이씨디,5.10 (1%),2.31 (1%),,2.11 (1%),2.23 (1%),2.11 (1%),,,,,2.35 (1%),3.85 (1%),,2.23 (1%)
애플,23.33 (6%),39.23 (11%),,24.66 (9%),48.97 (17%),26.78 (11%),,27.15 (16%),,,32.12 (12%),27.69 (10%),,
엔비디아,,,,,,,,0.80 (0%),,,,,,0.74 (0%)
오포,,3.08 (1%),,2.82 (1%),6.68 (2%),2.11 (1%),,1.60 (1%),,1.73 (1%),3.13 (1%),3.08 (1%),,
인텔,2.19 (1%),1.54 (0%),1.61 (2%),,,2.11 (1%),3.19 (1%),2.40 (1%),,,1.57 (1%),,2.35 (1%),
카카오,7.29 (2%),2.31 (1%),,2.82 (1%),2.23 (1%),,6.39 (2%),,2.35 (1%),,,2.31 (1%),,5.94 (2%)
퀄컴,8.75 (2%),,,,,4.23 (2%),10.38 (4%),3.99 (2%),,,3.92 (2%),3.85 (1%),3.92 (2%),5.19 (2%)
폭스바겐,2.92 (1%),,,1.41 (1%),2.23 (1%),,1.60 (1%),,,1.73 (1%),,1.54 (1%),1.57 (1%),1.48 (1%)
하이센스,1.46 (0%),4.61 (1%),,2.82 (1%),2.23 (1%),,,1.60 (1%),,,4.70 (2%),3.08 (1%),3.13 (2%),
한미반도체,6.56 (2%),,,,2.23 (1%),2.11 (1%),7.19 (3%),,2.35 (1%),,2.35 (1%),2.31 (1%),,3.71 (1%)
한화솔루션,7.29 (2%),2.31 (1%),,2.82 (1%),,,3.99 (1%),,2.35 (1%),,,3.08 (1%),2.35 (1%),3.71 (1%)
한화시스템,7.29 (2%),2.31 (1%),,2.82 (1%),,,6.39 (2%),,1.57 (1%),,1.57 (1%),2.31 (1%),,5.19 (2%)
현대모비스,14.58 (4%),5.38 (1%),,4.93 (2%),,4.93 (2%),11.98 (4%),,3.13 (2%),,,6.15 (2%),,10.39 (4%)
현대자동차,7.29 (2%),2.31 (1%),,2.82 (1%),,,3.99 (1%),,2.35 (1%),,,3.08 (1%),2.35 (1%),3.71 (1%)
현대차,16.04 (4%),6.92 (2%),,4.93 (2%),,5.64 (2%),11.98 (4%),,,6.05 (4%),,6.15 (2%),,11.13 (4%)
화웨이,,3.85 (1%),,2.11 (1%),,1.41 (1%),,1.60 (1%),,0.86 (1%),1.57 (1%),1.54 (1%),1.57 (1%),
