org,topic_0,topic_1,topic_10,topic_11,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
AMD,1.46 (0%),2.16 (0%),,,2.11 (0%),,3.56 (1%),,3.47 (1%),4.71 (1%),1.48 (0%),1.50 (0%)
ASUS,1.46 (0%),1.44 (0%),1.95 (2%),6.28 (2%),,2.11 (1%),4.27 (1%),,1.39 (0%),,,3.01 (0%)
BMW,0.73 (0%),,0.97 (1%),2.35 (1%),1.40 (0%),2.81 (1%),2.85 (1%),,2.08 (0%),,,0.75 (0%)
BOE,29.97 (5%),34.61 (6%),,21.97 (6%),19.66 (3%),,12.81 (3%),,12.48 (3%),12.55 (3%),,42.83 (7%)
BYD,,,0.97 (1%),,,0.70 (0%),0.71 (0%),,1.39 (0%),,,
CES,5.85 (1%),5.77 (1%),,,6.32 (1%),9.13 (3%),2.13 (0%),,2.77 (1%),,2.22 (1%),3.76 (1%)
CSOT,16.81 (3%),23.07 (4%),,10.98 (3%),11.24 (2%),,5.69 (1%),,5.55 (1%),,4.45 (1%),18.79 (3%)
HP,3.65 (1%),,,3.14 (1%),2.11 (0%),3.51 (1%),4.27 (1%),2.81 (1%),2.08 (0%),,,3.01 (0%)
Harman,,,1.95 (2%),2.35 (1%),1.40 (0%),,3.56 (1%),2.81 (1%),3.47 (1%),1.57 (0%),1.48 (0%),
IoT,,,,3.14 (1%),7.72 (1%),2.81 (1%),7.11 (2%),2.81 (1%),6.24 (1%),7.85 (2%),4.45 (1%),
LG디스플레이,54.82 (9%),67.06 (11%),,38.44 (11%),43.54 (7%),32.30 (10%),27.04 (6%),,25.65 (6%),,,60.86 (10%)
LG전자,26.31 (4%),29.56 (5%),,22.75 (6%),38.62 (6%),,34.86 (7%),62.86 (23%),,24.32 (5%),,27.80 (5%)
LG화학,5.85 (1%),6.49 (1%),,,14.04 (2%),7.02 (2%),7.83 (2%),11.26 (4%),9.01 (2%),10.98 (2%),,
SID,5.85 (1%),5.77 (1%),,,6.32 (1%),9.13 (3%),2.13 (0%),,2.77 (1%),,2.22 (1%),3.76 (1%)
SK하이닉스,15.35 (3%),20.19 (3%),,,42.83 (6%),13.34 (4%),29.17 (6%),,22.87 (5%),41.58 (8%),20.01 (6%),
Semiconductor,,,,0.78 (0%),2.11 (0%),0.70 (0%),0.71 (0%),,2.77 (1%),1.57 (0%),0.74 (0%),
TCL,5.12 (1%),5.05 (1%),,6.28 (2%),4.21 (1%),,2.13 (0%),,3.47 (1%),,2.22 (1%),6.01 (1%)
TSMC,1.46 (0%),1.44 (0%),0.97 (1%),,2.11 (0%),,2.13 (0%),,2.08 (0%),6.28 (1%),2.22 (1%),
Tianma,3.65 (1%),9.37 (2%),,3.14 (1%),4.92 (1%),,1.42 (0%),,3.47 (1%),3.92 (1%),,4.51 (1%)
V2X,1.46 (0%),1.44 (0%),,,6.32 (1%),2.11 (1%),3.56 (1%),,2.77 (1%),6.28 (1%),2.96 (1%),
Visionox,10.96 (2%),21.63 (4%),,7.85 (2%),13.34 (2%),,,,6.93 (2%),7.85 (2%),2.22 (1%),15.03 (2%)
구글,12.43 (2%),15.86 (3%),,,25.28 (4%),,24.90 (5%),,23.57 (5%),16.48 (3%),18.53 (5%),13.53 (2%)
기아,13.16 (2%),15.14 (3%),,,30.19 (5%),10.53 (3%),15.65 (3%),9.38 (3%),13.17 (3%),10.98 (2%),,
네이버,7.31 (1%),9.37 (2%),,,17.55 (3%),6.32 (2%),14.23 (3%),8.44 (3%),11.78 (3%),,8.15 (2%),
디지타임스,2.92 (0%),3.61 (1%),,1.57 (0%),1.40 (0%),1.40 (0%),1.42 (0%),,,,1.48 (0%),5.26 (1%)
마이크로소프트,1.46 (0%),,,,4.21 (1%),2.81 (1%),7.11 (2%),,6.24 (1%),5.49 (1%),4.45 (1%),1.50 (0%)
메타,0.77 (0%),2.27 (0%),,,3.69 (1%),,4.48 (1%),,3.64 (1%),4.94 (1%),13.23 (4%),3.16 (0%)
미디어텍,,,,3.14 (1%),7.72 (1%),2.81 (1%),7.11 (2%),2.81 (1%),6.24 (1%),7.85 (2%),4.45 (1%),
벤츠,,,2.92 (3%),3.92 (1%),2.81 (0%),4.92 (1%),5.69 (1%),2.81 (1%),3.47 (1%),,,2.25 (0%)
비보,7.31 (1%),5.77 (1%),,4.71 (1%),3.51 (1%),2.11 (1%),,,,2.35 (0%),2.22 (1%),15.78 (3%)
삼성디스플레이,91.99 (14%),60.24 (9%),,35.75 (9%),43.43 (6%),35.05 (10%),,,37.60 (8%),30.65 (6%),,62.78 (9%)
삼성전자,111.83 (19%),77.15 (13%),,56.49 (16%),101.82 (15%),,60.48 (13%),,66.54 (15%),109.84 (22%),,87.92 (14%)
샤오미,13.16 (2%),10.82 (2%),,8.63 (2%),7.02 (1%),,7.83 (2%),,6.93 (2%),,5.93 (2%),23.29 (4%)
선익시스템,5.85 (1%),6.49 (1%),,3.92 (1%),1.40 (0%),2.11 (1%),,0.94 (0%),,0.78 (0%),,5.26 (1%)
소니,0.73 (0%),,,0.78 (0%),1.40 (0%),2.11 (1%),4.27 (1%),,4.16 (1%),,,
아마존,,,2.18 (2%),2.63 (1%),1.57 (0%),,3.98 (1%),3.15 (1%),3.88 (1%),1.76 (0%),1.66 (0%),
아이씨디,4.39 (1%),6.49 (1%),,2.35 (1%),4.21 (1%),2.11 (1%),2.13 (0%),,,2.35 (0%),,3.76 (1%)
알파벳,0.73 (0%),2.16 (0%),,,2.81 (0%),0.70 (0%),2.13 (0%),,,3.14 (1%),11.12 (3%),2.25 (0%)
애플,69.40 (9%),74.17 (9%),,44.49 (10%),56.49 (6%),,,,46.62 (8%),50.70 (8%),70.36 (16%),130.81 (16%)
엔비디아,4.29 (1%),4.23 (1%),,,6.60 (1%),,6.68 (1%),6.61 (2%),7.33 (1%),14.74 (3%),6.96 (2%),
오포,9.50 (2%),8.65 (1%),,6.28 (2%),4.21 (1%),,,,2.77 (1%),3.92 (1%),2.22 (1%),20.29 (3%)
인텔,1.46 (0%),1.44 (0%),1.95 (2%),,3.51 (1%),,1.42 (0%),1.88 (1%),2.08 (0%),3.92 (1%),,
카카오,5.12 (1%),7.93 (1%),,,16.15 (2%),6.32 (2%),10.67 (2%),,7.62 (2%),3.92 (1%),5.19 (2%),
퀄컴,8.04 (1%),5.77 (1%),,,14.04 (2%),,11.38 (2%),,9.01 (2%),19.61 (4%),6.67 (2%),6.76 (1%)
폭스바겐,0.73 (0%),,,,1.40 (0%),1.40 (0%),2.85 (1%),,3.47 (1%),3.14 (1%),1.48 (0%),0.75 (0%)
하이센스,2.92 (0%),2.88 (0%),,3.92 (1%),0.70 (0%),1.40 (0%),,,2.08 (0%),,1.48 (0%),3.01 (0%)
하이얼,1.46 (0%),,1.95 (2%),,2.81 (0%),2.81 (1%),5.69 (1%),1.88 (1%),4.16 (1%),0.78 (0%),,
한미반도체,1.46 (0%),1.44 (0%),,,6.32 (1%),2.11 (1%),3.56 (1%),,2.77 (1%),6.28 (1%),2.96 (1%),
한화,3.84 (1%),5.30 (1%),,,3.69 (1%),5.16 (1%),4.48 (1%),24.63 (9%),2.91 (1%),2.47 (0%),,
한화솔루션,2.19 (0%),2.88 (0%),,1.57 (0%),6.32 (1%),2.11 (1%),2.85 (1%),,,1.57 (0%),2.22 (1%),
한화시스템,2.19 (0%),4.33 (1%),,,10.53 (2%),,5.69 (1%),2.81 (1%),5.55 (1%),4.71 (1%),2.96 (1%),
현대모비스,8.04 (1%),10.82 (2%),,,24.58 (4%),7.02 (2%),12.81 (3%),,10.40 (2%),9.41 (2%),,6.01 (1%)
현대자동차,2.19 (0%),2.88 (0%),,1.57 (0%),6.32 (1%),2.11 (1%),2.85 (1%),,,1.57 (0%),2.22 (1%),
현대차,12.43 (2%),15.14 (3%),,,25.98 (4%),,15.65 (3%),15.01 (5%),13.17 (3%),11.77 (2%),9.63 (3%),
화웨이,10.96 (2%),6.49 (1%),,3.14 (1%),4.92 (1%),,2.13 (0%),,4.16 (1%),6.28 (1%),,12.02 (2%)
