org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8
AMD,85.20 (1%),95.51 (1%),9.35 (1%),26.85 (2%),,11.46 (2%),22.29 (2%),3.88 (1%),11.52 (1%)
ASUS,51.53 (1%),69.40 (1%),,8.95 (1%),2.71 (0%),11.46 (2%),1.78 (0%),3.10 (1%),11.52 (1%)
Acer,41.23 (1%),59.78 (1%),,8.95 (1%),1.80 (0%),8.81 (1%),0.89 (0%),3.10 (1%),9.21 (1%)
BMW,22.67 (0%),28.86 (0%),1.87 (0%),5.97 (0%),0.90 (0%),5.29 (1%),,3.88 (1%),4.61 (0%)
BOE,285.15 (4%),290.65 (4%),14.96 (2%),9.70 (1%),9.92 (1%),,15.15 (1%),11.63 (2%),23.03 (2%)
BYD,43.97 (1%),46.72 (1%),,8.20 (1%),,4.41 (1%),11.59 (1%),6.20 (1%),10.75 (1%)
CES,127.80 (2%),151.85 (2%),3.74 (0%),9.70 (1%),7.22 (1%),6.17 (1%),,6.20 (1%),23.03 (2%)
CSOT,90.01 (1%),87.95 (1%),1.87 (0%),2.24 (0%),0.90 (0%),,1.78 (0%),3.10 (1%),7.68 (1%)
Counterpoint,3.44 (0%),3.44 (0%),1.87 (0%),1.49 (0%),0.90 (0%),,,,
Dell,42.60 (1%),59.09 (1%),2.80 (0%),8.20 (1%),1.80 (0%),8.81 (1%),,3.10 (1%),9.21 (1%)
ETRI,19.93 (0%),27.48 (0%),4.67 (1%),,,,,0.78 (0%),0.77 (0%)
HMI,0.69 (0%),1.37 (0%),,0.75 (0%),,0.88 (0%),,0.78 (0%),0.77 (0%)
HP,86.58 (1%),126.43 (2%),2.80 (0%),13.42 (1%),9.02 (1%),17.62 (3%),,5.43 (1%),16.89 (2%)
Harman,11.68 (0%),17.86 (0%),,4.47 (0%),0.90 (0%),3.52 (1%),4.46 (0%),,1.54 (0%)
IEC,2.75 (0%),2.06 (0%),,,,,,,
IMID,45.35 (1%),50.85 (1%),7.48 (1%),3.73 (0%),,,,0.78 (0%),1.54 (0%)
ITU,54.28 (1%),46.04 (1%),3.74 (0%),8.95 (1%),1.80 (0%),,,2.33 (0%),0.77 (0%)
IoT,60.47 (1%),71.46 (1%),,23.12 (2%),5.41 (1%),10.57 (2%),7.13 (1%),9.30 (2%),16.12 (2%)
JDI,19.93 (0%),26.11 (0%),0.93 (0%),2.98 (0%),,,0.89 (0%),0.78 (0%),3.07 (0%)
KAIST,26.11 (0%),33.67 (0%),3.74 (0%),4.47 (0%),,3.52 (1%),1.78 (0%),3.88 (1%),7.68 (1%)
LG디스플레이,600.53 (9%),667.87 (9%),40.20 (5%),36.54 (3%),17.14 (2%),,141.74 (11%),37.22 (7%),64.49 (7%)
LG전자,485.10 (7%),508.46 (7%),144.92 (19%),96.21 (7%),267.86 (31%),53.75 (8%),159.56 (12%),,61.42 (7%)
LG화학,46.72 (1%),57.03 (1%),19.63 (3%),11.19 (1%),2.71 (0%),,119.45 (9%),4.65 (1%),4.61 (0%)
MWC,6.18 (0%),5.50 (0%),,0.75 (0%),1.80 (0%),0.88 (0%),,0.78 (0%),1.54 (0%)
Merck,3.44 (0%),4.12 (0%),4.67 (1%),,,,,0.78 (0%),0.77 (0%)
SEMI,1.37 (0%),2.06 (0%),,0.75 (0%),,,0.89 (0%),,
SID,72.83 (1%),98.94 (1%),,,0.90 (0%),1.76 (0%),,0.78 (0%),19.96 (2%)
SK하이닉스,133.99 (2%),177.96 (2%),32.72 (4%),34.31 (3%),18.04 (2%),14.98 (2%),20.50 (2%),,21.50 (2%)
Semiconductor,10.99 (0%),15.80 (0%),1.87 (0%),2.24 (0%),1.80 (0%),0.88 (0%),5.35 (0%),,0.77 (0%)
TCL,112.00 (2%),97.57 (1%),6.54 (1%),12.68 (1%),6.31 (1%),,1.78 (0%),7.75 (1%),2.30 (0%)
TSMC,30.23 (0%),35.73 (0%),,11.93 (1%),3.61 (0%),3.52 (1%),15.15 (1%),3.88 (1%),4.61 (0%)
Tianma,24.05 (0%),21.30 (0%),1.87 (0%),0.75 (0%),,,,,
UDC,8.93 (0%),7.56 (0%),,,,,,1.55 (0%),
UL,64.59 (1%),59.09 (1%),4.67 (1%),11.19 (1%),1.80 (0%),,2.67 (0%),2.33 (0%),2.30 (0%)
V2X,22.67 (0%),26.80 (0%),,5.22 (0%),2.71 (0%),0.88 (0%),0.89 (0%),4.65 (1%),0.77 (0%)
Visionox,20.61 (0%),27.48 (0%),0.93 (0%),0.75 (0%),,,,,2.30 (0%)
구글,190.65 (2%),202.95 (2%),51.61 (5%),70.09 (4%),37.67 (3%),39.44 (4%),,45.11 (5%),32.07 (2%)
기아,69.40 (1%),85.20 (1%),12.15 (2%),9.70 (1%),6.31 (1%),,7.13 (1%),17.06 (3%),13.05 (1%)
기아차,2.06 (0%),1.37 (0%),,,,,,,
네이버,124.37 (2%),133.99 (2%),36.46 (5%),39.53 (3%),13.53 (2%),26.44 (4%),50.81 (4%),,17.66 (2%)
두산로보틱스,17.18 (0%),21.99 (0%),0.93 (0%),5.97 (0%),,4.41 (1%),119.45 (9%),4.65 (1%),4.61 (0%)
디지타임스,8.93 (0%),8.93 (0%),0.93 (0%),0.75 (0%),,,,,1.54 (0%)
딥엑스,0.69 (0%),1.37 (0%),,0.75 (0%),0.90 (0%),,,,
레노버,11.68 (0%),13.05 (0%),,,,,,0.78 (0%),3.07 (0%)
리벨리온,5.50 (0%),7.56 (0%),0.93 (0%),1.49 (0%),,,,1.55 (0%),0.77 (0%)
리오토,6.18 (0%),6.18 (0%),,0.75 (0%),,,,0.78 (0%),0.77 (0%)
마이크로소프트,56.34 (1%),57.03 (1%),4.67 (1%),20.88 (2%),,13.22 (2%),18.72 (1%),3.10 (1%),9.21 (1%)
메타,81.77 (1%),83.83 (1%),7.48 (1%),30.58 (2%),,14.10 (2%),16.05 (1%),17.83 (3%),13.82 (1%)
미디어텍,15.12 (0%),13.05 (0%),,4.47 (0%),1.80 (0%),,0.89 (0%),1.55 (0%),3.07 (0%)
바이두,5.50 (0%),5.50 (0%),,1.49 (0%),,0.88 (0%),0.89 (0%),0.78 (0%),
벤츠,15.12 (0%),20.61 (0%),2.80 (0%),2.24 (0%),2.71 (0%),4.41 (1%),,2.33 (0%),6.14 (1%)
비보,32.98 (0%),35.73 (0%),,1.49 (0%),1.80 (0%),,,0.78 (0%),0.77 (0%)
삼성디스플레이,764.75 (11%),937.21 (12%),31.79 (4%),60.41 (5%),44.19 (5%),81.07 (13%),31.20 (2%),,161.23 (17%)
삼성전자,1822.63 (16%),1883.60 (15%),134.82 (11%),579.07 (27%),228.66 (17%),,368.68 (18%),152.36 (17%),192.22 (13%)
샤오미,97.64 (1%),90.38 (1%),2.20 (0%),12.26 (1%),7.41 (1%),,4.19 (0%),7.28 (1%),7.21 (1%)
샤오펑,7.56 (0%),9.62 (0%),,1.49 (0%),,0.88 (0%),,1.55 (0%),3.07 (0%)
샤프,12.37 (0%),10.99 (0%),,0.75 (0%),1.80 (0%),1.76 (0%),,0.78 (0%),3.07 (0%)
선익시스템,12.37 (0%),17.18 (0%),,,,,,,
세미파이브,4.12 (0%),3.44 (0%),1.87 (0%),1.49 (0%),,0.88 (0%),,0.78 (0%),
소니,26.80 (0%),28.17 (0%),1.87 (0%),3.73 (0%),1.80 (0%),0.88 (0%),,1.55 (0%),1.54 (0%)
아마존,32.98 (0%),28.86 (0%),3.74 (0%),10.44 (1%),1.80 (0%),4.41 (1%),8.91 (1%),,6.14 (1%)
아이씨디,19.24 (0%),28.17 (0%),,1.49 (0%),,,,,1.54 (0%)
알파벳,29.55 (0%),28.86 (0%),2.80 (0%),13.42 (1%),,5.29 (1%),16.05 (1%),0.78 (0%),7.68 (1%)
애플,1356.49 (9%),1318.10 (8%),114.16 (7%),250.02 (9%),,125.83 (9%),151.27 (6%),109.11 (9%),141.40 (7%)
엔비디아,145.86 (2%),163.63 (2%),16.54 (2%),46.68 (3%),,21.58 (2%),50.95 (3%),12.66 (2%),24.03 (2%)
오포,32.29 (0%),35.73 (0%),,3.73 (0%),1.80 (0%),0.88 (0%),0.89 (0%),1.55 (0%),3.07 (0%)
원익IPS,17.18 (0%),26.80 (0%),,1.49 (0%),,,0.89 (0%),3.10 (1%),0.77 (0%)
인텔,102.38 (1%),142.23 (2%),,19.39 (1%),10.82 (1%),18.51 (3%),5.35 (0%),7.75 (1%),22.26 (2%)
카카오,37.79 (1%),47.41 (1%),14.96 (2%),14.17 (1%),,12.34 (2%),8.02 (1%),3.88 (1%),6.14 (1%)
퀄컴,94.57 (1%),103.95 (1%),10.43 (1%),26.82 (2%),14.54 (1%),12.02 (2%),,18.27 (3%),8.57 (1%)
텐센트,7.56 (0%),6.87 (0%),,2.24 (0%),,0.88 (0%),0.89 (0%),0.78 (0%),
폭스바겐,15.12 (0%),21.99 (0%),,2.98 (0%),2.71 (0%),3.52 (1%),1.78 (0%),1.55 (0%),3.84 (0%)
하이센스,78.33 (1%),71.46 (1%),1.87 (0%),9.70 (1%),7.22 (1%),,1.78 (0%),6.98 (1%),3.07 (0%)
