term,cur,prev,diff,total,ma7,z_like
엔비디아,20,3,17,30,3.286,5.943
lg전자,17,2,15,40,3.429,4.759
현대차,9,0,9,27,1.429,3.449
차세대,8,0,8,46,1.714,2.722
퀄컴,7,2,5,18,1.286,2.678
sk하이닉스,6,0,6,23,1.286,2.209
한화,5,0,5,34,1.143,1.864
에어팟,4,0,4,6,0.714,1.781
ar,4,2,2,34,0.857,1.632
샤오미,3,1,2,6,0.571,1.383
4k,2,0,2,2,0.286,1.117
올레드,2,0,2,8,0.286,1.117
byd,2,0,2,9,0.286,1.117
sk온,2,0,2,3,0.429,0.95
tsmc,2,0,2,12,0.571,0.814
맥북,2,1,1,10,0.714,0.697
고속,1,0,1,1,0.143,0.622
기아차,1,0,1,1,0.143,0.622
시스코,1,0,1,1,0.143,0.622
한화시스템,1,0,1,1,0.143,0.622
기아,1,0,1,4,0.143,0.622
아마존,1,0,1,4,0.143,0.622
공급망,1,0,1,5,0.143,0.622
인텔,1,0,1,8,0.143,0.622
메타,1,0,1,10,0.143,0.622
카카오,1,0,1,10,0.429,0.345
삼성디스플레이,1,0,1,41,1.857,-0.363
