term,cur,prev,diff,total,ma7,z_like
삼성,10,5,5,322,7.143,0.778
삼성전자,7,3,4,85,4.286,0.884
oled,5,4,1,137,2.857,0.797
lg,4,6,-2,254,2.714,0.486
lg디스플레이,3,1,2,73,0.857,1.113
apple,2,0,2,3,0.286,1.117
foldable,2,0,2,2,0.286,1.117
sk하이닉스,2,1,1,21,0.714,0.697
lg전자,2,3,-1,35,1.857,0.06
애플,2,0,2,65,3.571,-0.544
인텔,1,0,1,8,0.143,0.622
semiconductor,1,0,1,1,0.143,0.622
udc,1,0,1,1,0.143,0.622
boe,1,0,1,16,0.286,0.465
현대차,1,0,1,22,0.714,0.155
갤럭시,1,0,1,24,0.857,0.074
아이폰,1,0,1,14,0.857,0.074
