org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
AMD,,120.20 (1%),101.07 (2%),228.07 (3%),,45.09 (1%),70.01 (1%),76.17 (1%),45.13 (1%),71.04 (1%)
ASUS,,64.29 (1%),26.13 (0%),15.30 (0%),,37.34 (1%),49.21 (1%),61.50 (1%),12.90 (0%),8.53 (0%)
AUO,2.22 (0%),6.99 (0%),,,2.20 (0%),3.52 (0%),4.16 (0%),9.78 (0%),5.01 (0%),2.13 (0%)
Acer,,62.19 (1%),21.31 (0%),13.84 (0%),,30.30 (1%),42.28 (0%),51.71 (0%),10.03 (0%),7.10 (0%)
BMW,16.31 (0%),57.30 (0%),66.69 (1%),,18.37 (0%),29.59 (1%),60.30 (1%),39.83 (0%),,34.81 (1%)
BOE,,448.64 (4%),193.21 (3%),338.10 (5%),,185.30 (3%),373.61 (4%),774.98 (6%),144.71 (3%),152.03 (3%)
BYD,,78.27 (1%),53.63 (1%),51.73 (1%),20.58 (0%),28.18 (0%),49.91 (1%),83.16 (1%),,31.26 (1%)
Bosch,1.48 (0%),0.70 (0%),0.69 (0%),,1.47 (0%),,1.39 (0%),0.70 (0%),1.43 (0%),
CES,68.20 (2%),216.63 (2%),69.45 (1%),,,217.71 (4%),121.30 (1%),139.76 (1%),71.64 (1%),60.39 (1%)
CSOT,,239.69 (2%),85.26 (1%),190.18 (3%),74.96 (2%),124.71 (2%),214.18 (2%),505.24 (4%),81.67 (2%),
Corning,0.74 (0%),3.49 (0%),,,0.73 (0%),1.41 (0%),2.77 (0%),2.10 (0%),0.72 (0%),0.71 (0%)
Counterpoint,1.48 (0%),1.40 (0%),1.38 (0%),,1.47 (0%),,2.77 (0%),1.40 (0%),2.15 (0%),
Dell,,60.10 (1%),22.69 (0%),14.57 (0%),,31.00 (1%),43.67 (1%),53.81 (0%),11.46 (0%),7.10 (0%)
ETRI,3.71 (0%),35.64 (0%),6.88 (0%),5.10 (0%),,14.80 (0%),18.71 (0%),26.55 (0%),5.73 (0%),
HMI,2.22 (0%),13.98 (0%),4.81 (0%),,2.20 (0%),4.23 (0%),6.24 (0%),7.69 (0%),,4.26 (0%)
HP,,115.30 (1%),47.44 (1%),27.69 (0%),,64.12 (1%),94.96 (1%),129.98 (1%),23.64 (0%),18.47 (0%)
Harman,,16.77 (0%),10.31 (0%),,5.88 (0%),6.34 (0%),9.01 (0%),11.18 (0%),10.03 (0%),5.68 (0%)
IEC,10.38 (0%),35.64 (0%),18.56 (0%),,,15.50 (0%),27.03 (0%),17.47 (0%),20.78 (0%),15.63 (0%)
IEEE,2.22 (0%),10.48 (0%),5.50 (0%),,,3.52 (0%),6.24 (0%),2.10 (0%),2.87 (0%),0.71 (0%)
IMID,5.93 (0%),50.31 (0%),17.88 (0%),9.47 (0%),,19.73 (0%),42.28 (0%),55.21 (0%),12.18 (0%),
