org,topic,base_score,topic_share,company_focus,hybrid_score
AMD,7,12.6236,0.0111,0.5698,12.6236
AMD,6,12.2103,0.0133,0.5512,12.2103
AMD,1,10.3972,0.0066,0.4693,10.3972
AMD,4,4.9092,0.0048,0.2216,4.9092
AMD,2,4.2581,0.0036,0.1922,4.2581
AMD,5,4.2581,0.0064,0.1922,4.2581
AMD,3,3.7267,0.0084,0.1682,3.7267
AUO,1,27.0327,0.0171,0.5566,27.0327
AUO,6,22.2658,0.0242,0.4584,22.2658
AUO,7,21.0393,0.0185,0.4332,21.0393
AUO,4,17.5328,0.0170,0.3610,17.5328
AUO,5,14.9032,0.0224,0.3068,14.9032
AUO,2,10.6451,0.0090,0.2192,10.6451
AUO,3,6.7080,0.0151,0.1381,6.7080
AUO,0,1.4110,0.0323,0.0291,1.4110
BMW,6,19.3928,0.0210,0.8361,19.3928
BMW,7,9.1170,0.0080,0.3931,9.1170
BMW,1,6.2383,0.0040,0.2690,6.2383
BMW,4,4.2079,0.0041,0.1814,4.2079
BMW,5,3.5484,0.0053,0.1530,3.5484
BMW,3,2.2360,0.0050,0.0964,2.2360
BMW,2,2.1290,0.0018,0.0918,2.1290
BOE,1,90.8023,0.0576,0.5877,90.8023
BOE,2,75.2257,0.0637,0.4869,75.2257
BOE,7,58.9101,0.0518,0.3813,58.9101
BOE,4,56.8061,0.0550,0.3677,56.8061
BOE,6,46.6865,0.0507,0.3022,46.6865
BOE,3,24.5960,0.0555,0.1592,24.5960
BOE,5,22.0000,0.0330,0.1424,22.0000
BYD,7,9.1170,0.0080,0.5812,9.1170
BYD,1,9.0109,0.0057,0.5744,9.0109
BYD,2,5.6774,0.0048,0.3619,5.6774
BYD,4,4.2079,0.0041,0.2682,4.2079
BYD,6,3.5913,0.0039,0.2289,3.5913
BYD,3,2.9813,0.0067,0.1900,2.9813
BYD,5,2.8387,0.0043,0.1810,2.8387
BYD,0,1.4110,0.0323,0.0899,1.4110
CES,5,22.0000,0.0330,0.7150,22.0000
CES,7,11.9223,0.0105,0.3875,11.9223
CES,1,10.3972,0.0066,0.3379,10.3972
CES,6,10.0555,0.0109,0.3268,10.0555
CES,4,9.8183,0.0095,0.3191,9.8183
CES,2,2.8387,0.0024,0.0923,2.8387
CES,3,2.2360,0.0050,0.0727,2.2360
CES,0,1.4110,0.0323,0.0459,1.4110
CSOT,1,47.1340,0.0299,0.5809,47.1340
CSOT,2,42.5806,0.0361,0.5248,42.5806
CSOT,7,30.1564,0.0265,0.3717,30.1564
CSOT,4,29.4550,0.0285,0.3630,29.4550
CSOT,6,21.5476,0.0234,0.2656,21.5476
CSOT,3,14.9067,0.0336,0.1837,14.9067
CSOT,5,9.2258,0.0138,0.1137,9.2258
Counterpoint,5,1.4194,0.0021,0.8213,1.4194
Counterpoint,7,0.7013,0.0006,0.4058,0.7013
Counterpoint,1,0.6931,0.0004,0.4011,0.6931
ETRI,5,4.2581,0.0064,0.9498,4.2581
ETRI,4,1.4026,0.0014,0.3129,1.4026
Harman,1,3.4657,0.0022,0.8155,3.4657
Harman,2,1.4194,0.0012,0.3340,1.4194
Harman,7,1.4026,0.0012,0.3301,1.4026
Harman,3,0.7453,0.0017,0.1754,0.7453
Harman,6,0.7183,0.0008,0.1690,0.7183
Harman,5,0.7097,0.0011,0.1670,0.7097
Harman,4,0.7013,0.0007,0.1650,0.7013
IEEE,1,4.1589,0.0026,0.6093,4.1589
IEEE,5,2.8387,0.0043,0.4159,2.8387
IEEE,7,2.8052,0.0025,0.4110,2.8052
IEEE,6,2.1548,0.0023,0.3157,2.1548
IEEE,2,2.1290,0.0018,0.3119,2.1290
IEEE,3,1.4907,0.0034,0.2184,1.4907
IEEE,4,1.4026,0.0014,0.2055,1.4026
Innolux,6,31.6031,0.0343,0.5988,31.6031
Innolux,1,27.0327,0.0171,0.5122,27.0327
Innolux,7,21.7406,0.0191,0.4119,21.7406
Innolux,4,15.4288,0.0149,0.2923,15.4288
Innolux,5,12.7742,0.0192,0.2420,12.7742
Innolux,2,11.3548,0.0096,0.2152,11.3548
Innolux,3,6.7080,0.0151,0.1271,6.7080
Innolux,0,2.8220,0.0645,0.0535,2.8220
IoT,7,16.8315,0.0148,0.5581,16.8315
IoT,6,16.5198,0.0179,0.5478,16.5198
IoT,1,13.1698,0.0084,0.4367,13.1698
IoT,4,8.4157,0.0082,0.2791,8.4157
IoT,5,7.8064,0.0117,0.2588,7.8064
IoT,2,5.6774,0.0048,0.1883,5.6774
IoT,3,3.7267,0.0084,0.1236,3.7267
IoT,0,1.4110,0.0323,0.0468,1.4110
JDI,1,14.5561,0.0092,0.6501,14.5561
JDI,2,11.3548,0.0096,0.5071,11.3548
JDI,7,8.4157,0.0074,0.3759,8.4157
JDI,4,7.7144,0.0075,0.3445,7.7144
JDI,3,3.7267,0.0084,0.1664,3.7267
JDI,6,2.8730,0.0031,0.1283,2.8730
JDI,5,2.8387,0.0043,0.1268,2.8387
KAIST,5,22.0000,0.0330,0.7660,22.0000
KAIST,1,10.3972,0.0066,0.3620,10.3972
KAIST,4,9.1170,0.0088,0.3174,9.1170
KAIST,7,9.1170,0.0080,0.3174,9.1170
KAIST,6,7.1825,0.0078,0.2501,7.1825
KAIST,2,2.8387,0.0024,0.0988,2.8387
KAIST,3,2.2360,0.0050,0.0778,2.2360
KAIST,0,1.4110,0.0323,0.0491,1.4110
LG디스플레이,1,172.5936,0.1095,0.5655,172.5936
LG디스플레이,4,144.4700,0.1399,0.4734,144.4700
LG디스플레이,2,142.6450,0.1209,0.4674,142.6450
LG디스플레이,7,115.7162,0.1017,0.3791,115.7162
LG디스플레이,6,70.3888,0.0764,0.2306,70.3888
LG디스플레이,3,50.6826,0.1143,0.1661,50.6826
LG디스플레이,5,34.7741,0.0522,0.1139,34.7741
LG디스플레이,0,4.2330,0.0968,0.0139,4.2330
LG전자,1,59.6107,0.0378,0.5993,59.6107
LG전자,7,49.0917,0.0432,0.4935,49.0917
LG전자,6,37.3492,0.0405,0.3755,37.3492
LG전자,2,35.4838,0.0301,0.3567,35.4838
LG전자,4,26.6498,0.0258,0.2679,26.6498
LG전자,5,17.0322,0.0256,0.1712,17.0322
LG전자,3,16.3973,0.0370,0.1648,16.3973
LG전자,0,2.8220,0.0645,0.0284,2.8220
LG화학,1,8.3178,0.0053,0.6924,8.3178
LG화학,4,5.6105,0.0054,0.4670,5.6105
LG화학,7,4.9092,0.0043,0.4087,4.9092
LG화학,6,2.8730,0.0031,0.2392,2.8730
LG화학,2,2.1290,0.0018,0.1772,2.1290
LG화학,5,2.1290,0.0032,0.1772,2.1290
LG화학,3,1.4907,0.0034,0.1241,1.4907
Nitto,1,1.3863,0.0009,1.0000,1.3863
SID,4,4.2079,0.0041,0.4763,4.2079
SID,1,4.1589,0.0026,0.4707,4.1589
SID,6,3.5913,0.0039,0.4065,3.5913
SID,2,3.5484,0.0030,0.4016,3.5484
SID,5,3.5484,0.0053,0.4016,3.5484
SID,7,2.1039,0.0018,0.2381,2.1039
SID,3,0.7453,0.0017,0.0844,0.7453
SK하이닉스,1,39.5094,0.0251,0.6418,39.5094
SK하이닉스,7,22.4419,0.0197,0.3646,22.4419
SK하이닉스,4,20.3380,0.0197,0.3304,20.3380
SK하이닉스,6,19.3928,0.0210,0.3150,19.3928
SK하이닉스,2,19.1613,0.0162,0.3113,19.1613
SK하이닉스,5,19.1613,0.0288,0.3113,19.1613
SK하이닉스,3,14.1613,0.0319,0.2301,14.1613
Semiconductor,1,4.8520,0.0031,0.5640,4.8520
Semiconductor,6,4.3095,0.0047,0.5009,4.3095
Semiconductor,5,3.5484,0.0053,0.4124,3.5484
Semiconductor,7,2.8052,0.0025,0.3261,2.8052
Semiconductor,3,2.2360,0.0050,0.2599,2.2360
Semiconductor,4,2.1039,0.0020,0.2446,2.1039
Semiconductor,2,1.4194,0.0012,0.1650,1.4194
TCL,1,43.6683,0.0277,0.5710,43.6683
TCL,2,35.4838,0.0301,0.4640,35.4838
TCL,7,32.9616,0.0290,0.4310,32.9616
TCL,6,29.4484,0.0320,0.3850,29.4484
TCL,4,21.7406,0.0211,0.2843,21.7406
TCL,5,12.7742,0.0192,0.1670,12.7742
TCL,3,9.6893,0.0218,0.1267,9.6893
TSMC,1,15.9424,0.0101,0.6000,15.9424
TSMC,6,12.2103,0.0133,0.4595,12.2103
TSMC,5,9.9355,0.0149,0.3739,9.9355
TSMC,7,7.7144,0.0068,0.2903,7.7144
TSMC,2,7.0968,0.0060,0.2671,7.0968
TSMC,4,7.0131,0.0068,0.2639,7.0131
TSMC,3,6.7080,0.0151,0.2525,6.7080
Tianma,1,26.3396,0.0167,0.5608,26.3396
Tianma,2,24.8387,0.0210,0.5288,24.8387
Tianma,7,17.5328,0.0154,0.3733,17.5328
Tianma,6,16.5198,0.0179,0.3517,16.5198
Tianma,4,14.0262,0.0136,0.2986,14.0262
Tianma,3,9.6893,0.0218,0.2063,9.6893
Tianma,5,4.9677,0.0075,0.1058,4.9677
Toray,1,2.7726,0.0018,0.6024,2.7726
Toray,5,2.1290,0.0032,0.4626,2.1290
Toray,7,2.1039,0.0018,0.4571,2.1039
Toray,6,1.4365,0.0016,0.3121,1.4365
Toray,4,1.4026,0.0014,0.3048,1.4026
Toray,2,0.7097,0.0006,0.1542,0.7097
Visionox,2,29.0967,0.0247,0.6786,29.0967
Visionox,1,23.5670,0.0149,0.5497,23.5670
Visionox,4,15.4288,0.0149,0.3598,15.4288
Visionox,7,11.9223,0.0105,0.2781,11.9223
Visionox,3,5.9627,0.0134,0.1391,5.9627
Visionox,6,4.3095,0.0047,0.1005,4.3095
Visionox,5,1.4194,0.0021,0.0331,1.4194
구글,1,51.2929,0.0325,0.5173,51.2929
구글,5,48.9677,0.0735,0.4938,48.9677
구글,4,39.9747,0.0387,0.4031,39.9747
구글,7,37.8708,0.0333,0.3819,37.8708
구글,6,30.1666,0.0327,0.3042,30.1666
구글,2,27.6774,0.0235,0.2791,27.6774
구글,3,9.6893,0.0218,0.0977,9.6893
구글,0,1.4110,0.0323,0.0142,1.4110
기아,1,17.3287,0.0110,0.5951,17.3287
기아,7,14.7275,0.0129,0.5058,14.7275
기아,4,9.8183,0.0095,0.3372,9.8183
기아,2,9.2258,0.0078,0.3168,9.2258
기아,6,8.6190,0.0094,0.2960,8.6190
기아,5,7.8064,0.0117,0.2681,7.8064
기아,3,3.7267,0.0084,0.1280,3.7267
기아자동차,1,4.1589,0.0026,0.5807,4.1589
기아자동차,2,2.8387,0.0024,0.3963,2.8387
기아자동차,7,2.8052,0.0025,0.3917,2.8052
기아자동차,3,2.2360,0.0050,0.3122,2.2360
기아자동차,6,2.1548,0.0023,0.3008,2.1548
기아자동차,4,2.1039,0.0020,0.2938,2.1039
기아자동차,5,1.4194,0.0021,0.1982,1.4194
기아자동차,0,1.4110,0.0323,0.1970,1.4110
네이버,6,4.3095,0.0047,0.5321,4.3095
네이버,7,4.2079,0.0037,0.5196,4.2079
네이버,1,3.4657,0.0022,0.4279,3.4657
네이버,5,2.8387,0.0043,0.3505,2.8387
네이버,2,2.1290,0.0018,0.2629,2.1290
네이버,3,1.4907,0.0034,0.1841,1.4907
네이버,0,1.4110,0.0323,0.1742,1.4110
네이버,4,0.7013,0.0007,0.0866,0.7013
디지타임스,2,7.8064,0.0066,0.6643,7.8064
디지타임스,1,5.5452,0.0035,0.4719,5.5452
디지타임스,4,4.2079,0.0041,0.3581,4.2079
디지타임스,7,4.2079,0.0037,0.3581,4.2079
디지타임스,6,2.8730,0.0031,0.2445,2.8730
디지타임스,3,1.4907,0.0034,0.1269,1.4907
디지타임스,5,0.7097,0.0011,0.0604,0.7097
레노버,6,2.8730,0.0031,0.5797,2.8730
레노버,2,2.1290,0.0018,0.4296,2.1290
레노버,4,2.1039,0.0020,0.4245,2.1039
레노버,1,2.0794,0.0013,0.4196,2.0794
레노버,7,1.4026,0.0012,0.2830,1.4026
레노버,3,0.7453,0.0017,0.1504,0.7453
레노버,5,0.7097,0.0011,0.1432,0.7097
마이크로소프트,5,29.0967,0.0437,0.5366,29.0967
마이크로소프트,1,27.0327,0.0171,0.4985,27.0327
마이크로소프트,7,21.7406,0.0191,0.4009,21.7406
마이크로소프트,6,20.1111,0.0218,0.3709,20.1111
마이크로소프트,4,14.7275,0.0143,0.2716,14.7275
마이크로소프트,2,14.1935,0.0120,0.2618,14.1935
마이크로소프트,3,5.9627,0.0134,0.1100,5.9627
마이크로소프트,0,5.6439,0.1290,0.1041,5.6439
메타,5,56.0644,0.0841,0.6074,56.0644
메타,1,45.7477,0.0290,0.4956,45.7477
메타,4,35.0655,0.0340,0.3799,35.0655
메타,7,32.2603,0.0284,0.3495,32.2603
메타,6,23.7024,0.0257,0.2568,23.7024
메타,2,19.8709,0.0168,0.2153,19.8709
메타,3,7.4533,0.0168,0.0807,7.4533
메타,0,1.4110,0.0323,0.0153,1.4110
미디어텍,6,8.6190,0.0094,0.6773,8.6190
미디어텍,1,5.5452,0.0035,0.4358,5.5452
미디어텍,4,4.2079,0.0041,0.3307,4.2079
미디어텍,7,4.2079,0.0037,0.3307,4.2079
미디어텍,3,2.9813,0.0067,0.2343,2.9813
미디어텍,5,2.8387,0.0043,0.2231,2.8387
