org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
AMD,16.64 (1%),7.93 (2%),52.01 (19%),4.29 (1%),16.46 (1%),4.54 (1%),13.17 (1%),31.81 (3%)
AUO,28.42 (2%),3.17 (1%),,8.59 (1%),19.32 (2%),9.84 (3%),10.24 (1%),11.83 (1%)
BMW,11.09 (1%),1.59 (0%),,5.72 (1%),10.02 (1%),3.03 (1%),2.19 (0%),2.22 (0%)
BOE,74.17 (5%),9.52 (3%),,34.35 (4%),75.14 (6%),18.92 (5%),77.54 (6%),39.20 (3%)
BYD,8.32 (1%),2.38 (1%),2.54 (1%),3.58 (0%),8.59 (1%),2.27 (1%),5.85 (0%),2.22 (0%)
CES,,,2.54 (1%),0.72 (0%),,,,0.74 (0%)
CSOT,32.58 (2%),3.97 (1%),,17.17 (2%),41.51 (3%),9.08 (2%),43.89 (3%),19.23 (2%)
Counterpoint,0.69 (0%),2.38 (1%),,,,,,0.74 (0%)
ETRI,1.39 (0%),,,,,,,
HP,0.69 (0%),,,0.72 (0%),1.43 (0%),,1.46 (0%),0.74 (0%)
Harman,4.85 (0%),1.59 (0%),,4.29 (1%),4.29 (0%),1.51 (0%),4.39 (0%),11.10 (1%)
IEEE,6.93 (0%),1.59 (0%),,0.72 (0%),2.86 (0%),,2.93 (0%),1.48 (0%)
Innolux,29.11 (2%),3.17 (1%),2.54 (1%),15.74 (2%),22.90 (2%),12.11 (3%),12.43 (1%),10.36 (1%)
IoT,13.17 (1%),1.59 (0%),1.27 (0%),6.44 (1%),11.45 (1%),3.03 (1%),4.39 (0%),3.70 (0%)
JDI,13.17 (1%),0.79 (0%),,2.86 (0%),10.73 (1%),3.78 (1%),13.90 (1%),9.62 (1%)
LG디스플레이,122.69 (8%),11.90 (3%),,85.87 (11%),125.23 (10%),35.56 (9%),146.29 (11%),81.36 (7%)
LG전자,58.22 (4%),15.86 (4%),60.89 (23%),58.68 (8%),75.86 (6%),14.38 (4%),46.08 (4%),62.87 (5%)
LG화학,24.26 (2%),0.79 (0%),,10.02 (1%),5.72 (0%),5.30 (1%),4.39 (0%),7.40 (1%)
Nitto,0.69 (0%),,,0.72 (0%),1.43 (0%),0.76 (0%),,1.48 (0%)
SID,3.47 (0%),,1.27 (0%),1.43 (0%),0.72 (0%),0.76 (0%),0.73 (0%),0.74 (0%)
SK하이닉스,55.45 (3%),16.66 (5%),,22.90 (3%),37.93 (3%),11.35 (3%),26.33 (2%),60.65 (5%)
Semiconductor,8.32 (1%),0.79 (0%),,2.15 (0%),3.58 (0%),1.51 (0%),2.19 (0%),1.48 (0%)
TCL,36.74 (2%),2.38 (1%),1.27 (0%),13.60 (2%),44.37 (3%),5.30 (1%),40.23 (3%),14.05 (1%)
TSMC,12.48 (1%),5.55 (2%),,2.86 (0%),7.87 (1%),1.51 (0%),5.85 (0%),11.83 (1%)
Tianma,22.18 (1%),2.38 (1%),,10.02 (1%),27.19 (2%),7.57 (2%),25.60 (2%),14.05 (1%)
Toray,3.47 (0%),0.79 (0%),,2.15 (0%),0.72 (0%),0.76 (0%),0.73 (0%),
UDC,3.47 (0%),,,1.43 (0%),0.72 (0%),0.76 (0%),2.19 (0%),
UL,2.77 (0%),1.59 (0%),,2.15 (0%),0.72 (0%),0.76 (0%),1.46 (0%),1.48 (0%)
Visionox,21.49 (1%),,,11.45 (1%),15.03 (1%),4.54 (1%),27.80 (2%),8.88 (1%)
구글,43.67 (3%),9.16 (2%),,15.03 (2%),20.29 (2%),6.36 (2%),26.11 (2%),34.95 (3%)
기아,28.42 (2%),3.97 (1%),1.27 (0%),10.73 (1%),13.60 (1%),5.30 (1%),8.78 (1%),11.10 (1%)
기아자동차,6.93 (0%),2.38 (1%),1.27 (0%),5.72 (1%),8.59 (1%),3.03 (1%),4.39 (0%),2.96 (0%)
네이버,9.70 (1%),3.17 (1%),1.27 (0%),4.29 (1%),7.16 (1%),0.76 (0%),4.39 (0%),11.10 (1%)
두산로보틱스,2.08 (0%),,1.27 (0%),0.72 (0%),0.72 (0%),,,
디지타임스,6.24 (0%),,,2.86 (0%),3.58 (0%),2.27 (1%),8.05 (1%),
레노버,0.69 (0%),0.79 (0%),,,0.72 (0%),,0.73 (0%),
마이크로소프트,16.64 (1%),5.55 (2%),,4.29 (1%),13.60 (1%),3.78 (1%),9.51 (1%),9.62 (1%)
메타,53.37 (3%),9.52 (3%),,14.31 (2%),15.03 (1%),8.32 (2%),20.48 (2%),19.23 (2%)
미디어텍,6.93 (0%),1.59 (0%),,2.86 (0%),4.29 (0%),0.76 (0%),2.93 (0%),2.96 (0%)
벤츠,6.24 (0%),0.79 (0%),,4.29 (1%),6.44 (1%),2.27 (1%),1.46 (0%),2.22 (0%)
