org,topic_0,topic_1,topic_2,topic_3
AMD,8.56 (3%),75.63 (17%),4.07 (3%),21.27 (1%)
AUO,5.99 (2%),4.79 (1%),2.04 (2%),25.38 (2%)
BMW,1.71 (1%),5.74 (1%),1.02 (1%),6.17 (0%)
BOE,13.69 (4%),11.49 (3%),4.07 (3%),97.41 (6%)
BYD,2.57 (1%),0.96 (0%),,8.92 (1%)
CES,,0.96 (0%),,2.74 (0%)
CSOT,4.28 (1%),3.83 (1%),1.02 (1%),51.45 (3%)
Counterpoint,,,,0.69 (0%)
ETRI,,,,0.69 (0%)
HP,,,3.06 (3%),0.69 (0%)
IEC,,,,6.17 (0%)
IEEE,0.86 (0%),,,4.12 (0%)
ITU,,,,6.17 (0%)
Innolux,9.41 (3%),5.74 (1%),4.07 (3%),27.44 (2%)
IoT,2.57 (1%),2.87 (1%),2.04 (2%),14.41 (1%)
JDI,3.42 (1%),,,16.46 (1%)
KAIST,,,,6.17 (0%)
LG디스플레이,11.98 (4%),8.62 (2%),2.04 (2%),163.95 (10%)
LG전자,18.82 (6%),86.16 (19%),8.15 (7%),87.81 (5%)
LG화학,5.13 (2%),,1.02 (1%),11.66 (1%)
SID,0.86 (0%),,1.02 (1%),4.80 (0%)
SK하이닉스,17.97 (6%),2.87 (1%),2.04 (2%),32.93 (2%)
Semiconductor,1.71 (1%),,,6.86 (0%)
TCL,3.42 (1%),4.79 (1%),,50.08 (3%)
TSMC,1.71 (1%),,,3.43 (0%)
Tianma,5.99 (2%),3.83 (1%),,34.30 (2%)
Toray,,,,1.37 (0%)
UDC,,,,2.06 (0%)
Visionox,2.57 (1%),,,30.18 (2%)
구글,8.56 (3%),3.83 (1%),3.06 (3%),43.22 (3%)
기아,3.42 (1%),0.96 (0%),1.02 (1%),14.41 (1%)
기아자동차,2.57 (1%),2.87 (1%),1.02 (1%),6.17 (0%)
네이버,3.42 (1%),9.57 (2%),1.02 (1%),11.66 (1%)
디지타임스,,0.96 (0%),,6.86 (0%)
레노버,,,,0.69 (0%)
마이크로소프트,5.13 (2%),2.87 (1%),1.02 (1%),21.27 (1%)
메타,5.13 (2%),2.87 (1%),4.07 (3%),34.30 (2%)
미디어텍,2.57 (1%),0.96 (0%),1.02 (1%),4.80 (0%)
벤츠,,2.87 (1%),1.02 (1%),3.43 (0%)
비보,1.71 (1%),0.96 (0%),3.06 (3%),21.95 (1%)
삼성디스플레이,14.55 (4%),8.62 (2%),4.07 (3%),112.50 (7%)
삼성전자,47.92 (15%),92.86 (21%),12.22 (10%),184.53 (11%)
샤오미,5.99 (2%),2.87 (1%),3.06 (3%),70.66 (4%)
샤오펑,,,,4.12 (0%)
샤프,,0.96 (0%),,13.03 (1%)
선익시스템,0.86 (0%),,,5.49 (0%)
소니,3.42 (1%),0.96 (0%),3.06 (3%),12.35 (1%)
아마존,6.85 (2%),1.91 (0%),,10.29 (1%)
아이씨디,,,,1.37 (0%)
알파벳,1.71 (1%),,1.02 (1%),12.35 (1%)
애플,21.39 (7%),15.32 (3%),7.13 (6%),143.37 (9%)
엔비디아,13.69 (4%),5.74 (1%),1.02 (1%),23.32 (1%)
오포,,,,26.75 (2%)
원익IPS,4.28 (1%),,,10.98 (1%)
인텔,,,1.02 (1%),2.06 (0%)
카카오,1.71 (1%),21.06 (5%),1.02 (1%),6.86 (0%)
퀄컴,4.28 (1%),3.83 (1%),8.15 (7%),8.92 (1%)
폭스바겐,,2.87 (1%),,2.74 (0%)
퓨리오사AI,0.86 (0%),,,2.06 (0%)
하이센스,2.57 (1%),6.70 (2%),3.06 (3%),37.73 (2%)
하이얼,0.86 (0%),0.96 (0%),3.06 (3%),4.12 (0%)
한미반도체,0.86 (0%),,,3.43 (0%)
한화,15.40 (5%),17.23 (4%),4.07 (3%),29.50 (2%)
한화솔루션,2.57 (1%),0.96 (0%),,3.43 (0%)
한화시스템,5.99 (2%),9.57 (2%),,8.23 (0%)
현대모비스,1.71 (1%),,3.06 (3%),2.74 (0%)
현대자동차,7.70 (2%),2.87 (1%),4.07 (3%),17.15 (1%)
현대차,5.13 (2%),0.96 (0%),6.11 (5%),15.78 (1%)
화웨이,,,,7.55 (0%)
